AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f1_mean,f1_median,f1_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,screening_out_threshold
0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.2857433539306189,0.2863225204158396,0.002247337272030958,6.2,6.0,1.3165611772087666,662.7,662.5,3.8887301554906353,0.840848484848485,0.8393939393939394,0.007581546609696501,0.16798467630690156,0.16823063011195455,0.00130789306261412,0.9557142857142856,0.9571428571428572,0.009404008408634064,0.99
0.1,0.1,1.4628472785736255e-17,random_sampling,1.0,1.0,0.0,0.9998787878787878,1.0,0.0003833063830507152,0.2994037964702764,0.2983674831900046,0.0050032011586571895,1.1,0.5,2.1317702607092643,649.3,656.0,24.29471821885023,0.7936969696969697,0.7981818181818181,0.0195932519216494,0.1763320408673013,0.17537057522123894,0.0038063155043576435,0.9921428571428572,0.9964285714285714,0.015226930433637615,0.99
0.2,0.2,2.925694557147251e-17,random_sampling,1.0,1.0,0.0,0.9997575757575758,1.0,0.0005110751774009536,0.3004674532979795,0.2962992824316697,0.009106201921760206,0.7,0.0,1.567021236472421,648.8,663.0,32.33780037871057,0.7906666666666666,0.8060606060606059,0.033313370208208015,0.17699854109188112,0.17391545887755858,0.006562981429588231,0.995,1.0,0.011193008831945859,0.99
0.3,0.30000000000000004,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,0.9992727272727272,1.0,0.0019122682127190802,0.30207099989700203,0.3012632176566603,0.007938968070754886,0.7,1.0,0.6749485577105528,643.6,642.0,25.43925226015017,0.7843636363636363,0.7860606060606061,0.029149492079293036,0.17809180061686666,0.17768762343647138,0.005585975243589425,0.995,0.9928571428571428,0.004821061126503932,0.99
0.4,0.4,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,0.9997575757575758,1.0,0.0005110751774009536,0.3001866676964323,0.2982945779276105,0.006402252137711528,1.0,0.0,1.6329931618554518,647.6,655.0,26.34472327515407,0.791030303030303,0.7975757575757576,0.024431585231056083,0.17685572905486374,0.17551708962886906,0.004719727334189597,0.9928571428571428,1.0,0.011664236870396078,0.99
0.5,0.5,0.0,random_sampling,1.0,1.0,0.0,0.9985454545454544,1.0,0.0024107367903315373,0.2956121972026807,0.29411797158345504,0.0034426610708659174,0.0,0.0,0.0,667.3,672.0,10.791457526930987,0.8088484848484848,0.8145454545454546,0.01308055457809819,0.17344618950642107,0.17241405459677284,0.002379504811799165,1.0,1.0,0.0,0.99
0.6,0.6000000000000001,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,0.999151515151515,1.0,0.002289166137246931,0.3071926162504421,0.30451773455648234,0.006524223460615793,2.3,1.0,3.368151487751767,619.3,628.5,30.19584224506561,0.7646060606060605,0.7751515151515151,0.023279179801342725,0.18207285352355412,0.17965277501359975,0.004966119757271357,0.9835714285714284,0.9928571428571428,0.02405822491251261,0.99
0.7000000000000001,0.7000000000000001,0.0,random_sampling,1.0,1.0,0.0,0.9995151515151516,1.0,0.0008475223015516432,0.3084199024800902,0.3078615553863079,0.0063313828001754285,0.5,0.0,0.8498365855987975,625.5,629.5,20.876621693495654,0.7612121212121212,0.7630303030303031,0.02183314114926271,0.18246775000444346,0.18193639910154866,0.004602572470713775,0.9964285714285716,1.0,0.006070261325705675,0.99
0.7999999999999999,0.8,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,0.9993939393939394,1.0,0.0008570991287109723,0.30847033206338803,0.3068501442375825,0.005062389299796568,1.2,1.0,1.3984117975602022,621.3,626.0,14.283245818479465,0.7603636363636364,0.7666666666666666,0.01751924037415491,0.18265943299186926,0.1812304567711318,0.0034680534880631338,0.9914285714285714,0.9928571428571428,0.009988655696858577,0.99
0.9000000000000001,0.9,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,0.9989090909090907,1.0,0.0023175160241939515,0.3018869449687522,0.30237580993520524,0.0021204743653255686,0.5,0.0,1.0801234497346437,644.7,644.5,5.518655230720213,0.7844848484848486,0.7830303030303031,0.007357530272381439,0.17789265960915696,0.17811704834605604,0.001334945935974247,0.9964285714285716,1.0,0.007715167498104595,0.99
1.0,1.0,0.0,random_sampling,1.0,1.0,0.0,0.8727272727272728,0.8727272727272727,1.1702778228589004e-16,0.19324277903450549,0.13877406818583288,0.1956897441105669,108.2,128.0,37.59964538839872,65.6,22.0,87.4899359291621,0.7352727272727273,0.7963636363636364,0.13262647033917896,0.2606798857589841,0.2990687503071404,0.25317527952193497,0.22714285714285715,0.08571428571428573,0.26856889563141945,0.99
0.0,0.0,0.0,,2.0,2.0,0.0,1.9993939393939395,2.0,0.0008570991287109723,0.3314324222168755,0.3304560693949231,0.003149760827825743,6.8,7.0,1.4757295747452437,530.6,530.5,6.363087999461336,0.6843636363636364,0.6872727272727273,0.009181590378434431,0.2006713423484328,0.19984871406959154,0.0020415554151055233,0.9514285714285714,0.95,0.010540925533894612,0.99
