AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f1_mean,f1_median,f1_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,screening_out_threshold
0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.2257541080320707,0.22819798022301704,0.008419060436713291,11.1,10.5,1.728840330651992,290.0,291.0,3.055050463303893,0.34550000000000003,0.343,0.009640769909319698,0.13147069990866514,0.1328316447010809,0.0048798019360076815,0.7981818181818182,0.8090909090909091,0.03143346055730894,0.99
0.1,0.1,1.4628472785736255e-17,random_sampling,1.0,1.0,0.0,0.9999,1.0,0.0003162277660168382,0.13549468512764568,0.1359142801342258,0.004330813065437914,6.7,4.5,6.848357467305572,611.1,641.0,99.73459223804392,0.6446000000000001,0.6645000000000001,0.06682348223325224,0.07364931224109697,0.0733316105023775,0.0034014474369629174,0.8781818181818182,0.9181818181818182,0.1245155903146468,0.99
0.2,0.2,2.925694557147251e-17,random_sampling,1.0,1.0,0.0,0.9999,1.0,0.0003162277660168382,0.13691266325929385,0.13760170185276968,0.004729077991247068,4.4,4.5,1.7763883459298968,633.6,635.0,9.547541859324603,0.6556000000000001,0.6585000000000001,0.012633289357883016,0.07396061383116008,0.07431486880466473,0.0025676254645902994,0.9200000000000002,0.9181818181818182,0.03229796992599813,0.99
0.3,0.30000000000000004,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.13645039927661254,0.13654618473895586,0.004132039117395803,4.5,4.5,1.0801234497346437,635.0,641.0,15.776212754932311,0.6575,0.6625000000000001,0.016873713942763838,0.07370435976457633,0.07369942196531792,0.002330014839884584,0.9181818181818184,0.9181818181818182,0.01963860817699352,0.99
0.4,0.4,5.851389114294502e-17,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.13573211176065433,0.13495301231150286,0.002591206932910381,4.9,5.0,0.8755950357709131,633.2,631.5,9.986657765906138,0.6577000000000001,0.6609999999999999,0.010066997787048759,0.07333044621619758,0.0728864522572488,0.0014400112709182086,0.9109090909090908,0.9090909090909092,0.01591990974128934,0.99
0.5,0.5,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.18474754706245414,0.19057248320608935,0.016888761822670725,10.6,11.0,1.837873166945363,386.8,367.5,69.65598004159841,0.4398,0.42,0.062316040381982615,0.10449158565837444,0.10800636267232236,0.010765631232655032,0.8072727272727274,0.8,0.03341587576264294,0.99
0.6,0.6000000000000001,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.19108757055138534,0.1943981479367486,0.016009950984251245,10.4,11.0,2.3190036174568114,370.9,347.5,54.86640340155551,0.4229,0.4125,0.04842737976714321,0.10846204685936416,0.11014166432123088,0.010249521443216298,0.8109090909090909,0.8,0.042163702135578365,0.99
0.7000000000000001,0.7000000000000001,0.0,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.1877389017253758,0.1858746878461856,0.014585615723336075,11.5,12.0,3.13581462037113,368.1,357.5,57.21198398160224,0.4256,0.4205,0.04693541662042997,0.10668007260387014,0.10554163185742133,0.009369133763647902,0.7909090909090908,0.7818181818181819,0.05701481127947506,0.99
0.7999999999999999,0.8,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.12499324351434556,0.13313646644885652,0.01836962424101401,11.8,7.5,8.297255235585105,588.6,592.0,36.691506737481724,0.6476,0.653,0.02337710180687268,0.06792049502573623,0.07213397049772129,0.009724915506268484,0.7854545454545454,0.8636363636363635,0.1508591861015474,0.99
0.9000000000000001,0.9,1.1702778228589004e-16,random_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.13145719556584812,0.13698646202682574,0.01782176629135023,9.5,6.0,7.531415685130002,588.8,594.0,29.38555956777259,0.6363,0.6415,0.02535109026802948,0.07141585527942704,0.0742020288219344,0.00951117225935778,0.8272727272727274,0.8909090909090909,0.13693483063872733,0.99
1.0,1.0,0.0,random_sampling,1.0,1.0,0.0,0.7164999999999999,0.7164999999999999,0.001900292375165232,0.2849130391220208,0.30090497737556565,0.0974796027137242,43.2,44.0,5.921711464320654,12.0,4.5,15.797327481430381,0.22800000000000006,0.22699999999999998,0.0174355957741627,0.6789675172735231,0.6971153846153846,0.2518562482615759,0.2145454545454545,0.2,0.10766748116946644,0.99
0.0,0.0,0.0,,2.0,2.0,0.0,1.703,1.6995,0.010241527663824822,0.6675893533088382,0.6639784946236558,0.018673039192676155,14.4,14.5,1.9550504398153568,26.0,26.0,2.309401076758503,0.098,0.0985,0.008869423130433379,0.610055532221814,0.6061580882352942,0.018571965401891398,0.7381818181818182,0.7363636363636363,0.035546371633006515,0.99
0.1,0.1,1.4628472785736255e-17,random_sampling,2.0,2.0,0.0,1.9825000000000004,2.0,0.029714381104853006,0.3619092462470547,0.3589910647803425,0.10759534389623986,8.4,8.5,2.1705094128132942,180.8,154.0,95.7726474521823,0.22280000000000005,0.2015,0.09009229835131427,0.23754440634441185,0.2296171570365119,0.08996197343249271,0.8472727272727273,0.8454545454545455,0.03946380750569623,0.99
