num_items_queried,training_size_mean,proportion_positives_mean,precision_mean,recall_mean,fbeta_mean,loss_mean,training_size_median,precision_median,recall_median,fbeta_median,loss_median,training_size_std,precision_std,recall_std,fbeta_std,loss_std,sampling_strategy
1260.0,714.1,0.33286654356879086,0.7219314577149364,0.761424163558799,0.7563459601094806,0.47816447787529104,715,0.7093787099327266,0.7911580048831531,0.777588049421698,0.43958132775654,1.4491376746189528,0.11417485522968726,0.08462395355480878,0.08179503474212853,0.15744219397350018,random_sampling
1310.0,744.1,0.3328853633387,0.7186708812066791,0.7661766520887554,0.7603904006475593,0.47074914242027077,745,0.6994461064541927,0.7936116551742642,0.776031942421028,0.4413253443502405,1.4491376746189528,0.11346430796280164,0.08514115352205086,0.08274127789767813,0.15972470096837815,random_sampling
1360.0,774.1,0.33290272438575963,0.7173300966758621,0.7650293794102654,0.7592064136209746,0.4732790491646157,775,0.7093729502820412,0.7878860239864773,0.7777868906574387,0.4387079239080993,1.4491376746189528,0.1141440255724616,0.08027232495472453,0.07820147521490196,0.1516529020358663,random_sampling
1410.0,804.1,0.33291878998156776,0.7208435201256282,0.7658485149311798,0.7604275621462248,0.47066198384560626,805,0.7140746638358103,0.7886989884897104,0.7790267288106436,0.43797961513562816,1.4491376746189528,0.11340308719395391,0.0822487365839669,0.08048498644855294,0.15618970076686722,random_sampling
1460.0,834.1,0.3329336999078766,0.7279777086602717,0.761258082691637,0.757145792445681,0.4764490824711509,835,0.729563529734405,0.786238630570685,0.7754569040370755,0.44248690845739785,1.4491376746189528,0.11319846300401934,0.08034864135696859,0.07930493424536865,0.15410948454112244,random_sampling
1510.0,864.1,0.3329475745342864,0.7275965732705209,0.7637157575594966,0.7592429986502488,0.47240713346689167,865,0.7256833343789866,0.7885245901639344,0.7777827649591602,0.4379791076623225,1.4491376746189528,0.11335151953958708,0.08163939244126195,0.08012719284479855,0.1551055295089769,random_sampling
1560.0,894.1,0.3329605180750056,0.7252944931343541,0.762241689249014,0.7576373017716049,0.4754887737404422,895,0.7190668869631678,0.7901639344262295,0.7786767351967783,0.43484584060500286,1.4491376746189528,0.11230163625859803,0.08442365863695525,0.08249536320223595,0.15903540962344329,random_sampling
1610.0,924.1,0.33297262121123283,0.723029342484183,0.7640449679375385,0.7591228556790631,0.47272641052333153,925,0.7133050275782707,0.7893442622950819,0.7815699350900778,0.4297760977028206,1.4491376746189528,0.10854905478277188,0.08508023905237845,0.08301692749018447,0.16004842254412152,random_sampling
1660.0,954.1,0.3329839632187954,0.7244431635894242,0.7609323602801106,0.7563892740006526,0.4775240296035458,955,0.7153728698872843,0.7877049180327869,0.7830580456338636,0.4294853154986915,1.4491376746189528,0.10451763614346997,0.08769867920792325,0.0846571291185113,0.16188205159893118,random_sampling
1710.0,984.1,0.33299461370661765,0.7246569121724258,0.7645383810469266,0.7596331212295615,0.47135844873207455,985,0.7173864628431948,0.7934426229508197,0.7854064006657047,0.4278860133759814,1.4491376746189528,0.10374245995322806,0.08721229261849378,0.08413564547645623,0.1607350240580169,random_sampling
1760.0,1015.1,0.3326765823817926,0.7303981544173627,0.7596235679214403,0.7557557613903704,0.47813320081533417,1016,0.7212635980604035,0.7862426551474336,0.7780685246866386,0.43652967932254344,1.4491376746189528,0.0990555768623767,0.08762121020711963,0.08417029246359777,0.15964582797110466,random_sampling
