num_items_queried,training_size_mean,proportion_positives_mean,precision_mean,recall_mean,f1_mean,training_size_median,precision_median,recall_median,f1_median,training_size_std,precision_std,recall_std,f1_std,sampling_strategy
10.0,10.0,0.5,0.07425937383104639,0.4925915386074749,0.11816218538052332,10.0,0.07604217137023371,0.5654761904761905,0.12923609796041002,0.0,0.029740450769861055,0.1920481555645693,0.026062666843410465,uncertainty_sampling
60.0,22.9,0.31820871697961484,0.18386514936999063,0.24373774742300638,0.14182164888110696,20.5,0.12077434136301392,0.19047619047619047,0.1475971631205674,5.1088159097779196,0.255385104270029,0.2599455015661442,0.1153759244653022,uncertainty_sampling
110.0,39.5,0.3435809716599191,0.2571253042444832,0.222375577056852,0.18674228799917802,26.5,0.10598879339400066,0.20634920634920634,0.16011732772962087,24.08895551446301,0.3422392615093209,0.22230812011106316,0.19419236540457135,uncertainty_sampling
160.0,58.7,0.3436834395292573,0.3405229485478962,0.15251059255043314,0.19318584243540327,34.0,0.12094695428028761,0.0873015873015873,0.1207015207015207,44.539745047416794,0.38823347538864783,0.16076181991875488,0.21245452405579315,uncertainty_sampling
210.0,91.2,0.38312693798861924,0.4811631051908166,0.19939606652754063,0.24338936283837426,80.0,0.5997619857191432,0.1607142857142857,0.2555425671152674,59.88284859252736,0.36797466225225034,0.2020415365708864,0.21439483236704165,uncertainty_sampling
260.0,127.7,0.4331183087687932,0.495440307642256,0.24500569151963575,0.29866948979827834,130.0,0.6798730267673301,0.2777777777777778,0.2974097566155955,76.80140334366004,0.3779692484636177,0.20064575794820208,0.23290385666163763,uncertainty_sampling
310.0,168.3,0.45001571790832084,0.6192224573101122,0.33035951432365773,0.42280813524944766,180.0,0.7382246376811594,0.3670634920634921,0.5044767225325885,90.99334530002119,0.3286770431101032,0.19482718834647772,0.23280462318635597,uncertainty_sampling
360.0,208.9,0.4499717774455923,0.6307008856183491,0.34266268260292165,0.43819398032251655,230.0,0.7521078016273333,0.4583333333333333,0.5689493433395874,106.98852482600385,0.3362245600751636,0.1976389885089454,0.2417635610199005,uncertainty_sampling
410.0,248.9,0.472443098648749,0.5800827435927877,0.40379118446847534,0.4730806598801379,280.0,0.6755281690140845,0.5138888888888888,0.5831656606304494,125.21044507370603,0.31866852081394825,0.2200530641479077,0.2552194551416117,uncertainty_sampling
460.0,289.2,0.4555213941008508,0.5502894230411031,0.42171789034338836,0.46943679747257433,330.0,0.6811512717536814,0.501984126984127,0.5400742115027829,143.6336388950103,0.2883876844850505,0.19393131353434784,0.22491128325981496,uncertainty_sampling
