num_items_queried,training_size_mean,proportion_positives_mean,precision_mean,recall_mean,f1_mean,training_size_median,precision_median,recall_median,f1_median,training_size_std,precision_std,recall_std,f1_std,sampling_strategy
10.0,10.0,0.5,0.44286295336839016,0.520180924670546,0.4393176180485736,10.0,0.36681981531183183,0.5260663507109005,0.4530957899144301,0.0,0.16722808557401939,0.22705218228150975,0.11056035971084482,uncertainty_sampling
60.0,51.6,0.35717233644712276,0.7522275413578325,0.4394337292779011,0.5424078283895982,56.5,0.7327698362527784,0.46603475513428116,0.5437351496911136,9.912954487269005,0.12491283555055173,0.12468500720534557,0.11819437305551657,uncertainty_sampling
110.0,101.6,0.4567574846002265,0.8027170236457015,0.5465747295378647,0.6471110821629242,106.5,0.7958733974358974,0.556872037914692,0.6316520535302261,9.912954487269,0.07641582732933608,0.05820515965785803,0.04400629403769911,uncertainty_sampling
160.0,151.6,0.48123875123102533,0.8094602169959975,0.5420158677785111,0.6287159196135753,156.5,0.814542407597058,0.6094996700461935,0.6629429892141756,9.912954487269012,0.08874397754932989,0.16395505800402774,0.14410736302866253,uncertainty_sampling
210.0,201.6,0.4953005109728196,0.807111224674618,0.5969754234407183,0.6774085550316747,206.5,0.8205010775862069,0.5947867298578199,0.6731382082785814,9.912954487269012,0.1100216792020962,0.07395497416253896,0.042995320504269754,uncertainty_sampling
260.0,251.6,0.4957321094283723,0.7249232551417533,0.6348948647189394,0.661487268824744,256.5,0.7529188453549173,0.6511075949367089,0.6695314339533789,9.912954487269012,0.15371029680154294,0.07009671951244462,0.06819753781314632,uncertainty_sampling
310.0,301.6,0.4872787769004513,0.7919419195389003,0.6333233347331373,0.6972136118149945,306.5,0.7863262040434003,0.625,0.7003633726918418,9.912954487268994,0.09454855938963541,0.06373867785587563,0.027917901180590184,uncertainty_sampling
360.0,351.6,0.4901761484772037,0.7689717354541971,0.6583053372527845,0.7002270659169165,356.5,0.7600064228502342,0.6545308656788049,0.6933403780908043,9.912954487268994,0.1169557884612197,0.06648944937066756,0.03987361568433325,uncertainty_sampling
410.0,401.6,0.48408514163814226,0.7996030944538648,0.6469219309296699,0.711858397525577,406.5,0.7911085958624159,0.6613924050632911,0.7142889187165118,9.912954487268994,0.08210590498763531,0.04627538293420943,0.03465647023433922,uncertainty_sampling
460.0,451.6,0.48417636892951277,0.8066691529894123,0.6478810466534686,0.7133078337660909,456.5,0.810291176793759,0.6403391025256464,0.7060854900764395,9.912954487268994,0.08857784079220374,0.06212811493645919,0.03731470587687493,uncertainty_sampling
510.0,501.6,0.48015918697993126,0.8148959545461933,0.6538799568060472,0.7192923308864569,506.5,0.8247243486199873,0.6482192493050973,0.7277185986085783,9.912954487268994,0.08998468658113966,0.06574287961614125,0.03160501229510059,uncertainty_sampling
560.0,551.6,0.48103785192990484,0.8162242827211752,0.6589354990301357,0.7232914357562782,556.5,0.8223440303784637,0.673500709900614,0.7238853574216572,9.912954487269026,0.09354873905857218,0.06534880622627848,0.03911798534333645,uncertainty_sampling
610.0,601.6,0.4845944137559452,0.8055111818143988,0.6698419721239026,0.7250323432740358,606.5,0.819740463389657,0.6814008538804568,0.7219275535680922,9.912954487269026,0.0989410894966534,0.06503059255941036,0.03906239468851016,uncertainty_sampling
660.0,651.6,0.4854465515622174,0.8077689992269047,0.6723723678684983,0.7285924410458008,656.5,0.823344280240832,0.6750867378567,0.7310559342305847,9.912954487269026,0.08960580214786627,0.06169238362331256,0.0382322722776612,uncertainty_sampling
710.0,701.6,0.4876663566755582,0.7992492055807324,0.6843879356890035,0.7293581049564573,706.5,0.8011420736784678,0.6869313296138541,0.7414354762303343,9.912954487269026,0.10536428057789936,0.07493704636524867,0.04179669014712872,uncertainty_sampling
760.0,751.6,0.48662945349648157,0.8105759455527946,0.6816963125162477,0.7346308430788954,756.5,0.8072349221789883,0.6782425460435539,0.7400323185721569,9.912954487269026,0.09210698443043666,0.06325328882877884,0.03251915929731947,uncertainty_sampling
810.0,801.6,0.4834559662602752,0.8059748033124144,0.6761670866078748,0.7296267337000633,806.5,0.7916700834795729,0.6806159637650728,0.7379755092159856,9.912954487269026,0.09076748271754018,0.06674220895501806,0.03760764621934393,uncertainty_sampling
860.0,851.6,0.4836032617405423,0.8099848672932278,0.678540004399384,0.7327881635674267,856.5,0.802088551866527,0.6782475453436518,0.7375998169795082,9.912954487269026,0.0923048865956296,0.06854175967958934,0.04193150944072077,uncertainty_sampling
910.0,901.6,0.4814824919303101,0.8196907463243301,0.6779113424120624,0.736695813783893,906.5,0.8345294052104439,0.6893184954106425,0.7440607928281271,9.912954487269026,0.09058698313271278,0.06652274839761313,0.04112912151242168,uncertainty_sampling
960.0,951.6,0.48382490264955436,0.8186554596777011,0.681862039314496,0.7387366907757483,956.5,0.8291710451863228,0.698803417521547,0.7470890266827529,9.912954487269026,0.08906965933027185,0.06779830834534095,0.04251819586181591,uncertainty_sampling
1010.0,1001.6,0.486013323057678,0.8166054564713043,0.6856562581238628,0.7406523586841113,1006.5,0.8420880995384307,0.6924830523726678,0.7511748867559949,9.912954487269026,0.08703079721322748,0.06859542776079329,0.04673074588923803,uncertainty_sampling
1060.0,1051.6,0.4853378717654147,0.8193226749649096,0.690553822464855,0.7444038384033026,1056.5,0.8417529308036443,0.7027578638990541,0.7528324405833776,9.91295448726893,0.08961389786202124,0.06531157759802327,0.0420293689968865,uncertainty_sampling
