num_items_queried,training_size_mean,proportion_positives_mean,precision_mean,recall_mean,fbeta_mean,loss_mean,training_size_median,precision_median,recall_median,fbeta_median,loss_median,training_size_std,precision_std,recall_std,fbeta_std,loss_std,sampling_strategy
10.0,10.0,0.5,0.2892051884869836,0.39055903738526004,0.36980047081590206,1.9715348373067922,10,0.2855158531436258,0.38033298647242453,0.3659742443924387,2.025443442861297,0.0,0.023700712283619276,0.19675621553569417,0.16642648641430383,0.4205012999082367,uncertainty_sampling
60.0,54.5,0.369868042275821,0.3328009188548179,0.07529340755147207,0.07666197625410716,2.6223465580896455,59,0.3176948434188839,0.007284079084287201,0.008002139959281332,2.7746437917999422,7.5901983578238,0.32671207142751946,0.13679894746776425,0.1357762556033088,0.3166302197777424,uncertainty_sampling
110.0,95.7,0.35428784822232096,0.2980616092233991,0.2390160111283941,0.2063371143634296,2.2938722040861492,96,0.3061874154834998,0.03431002442448852,0.036863387983990845,2.7329595288652055,13.166033740061753,0.20488849849741714,0.38650980913673105,0.3153030966676457,0.7998191184348538,uncertainty_sampling
160.0,137.5,0.3522595154629212,0.29975122115300956,0.05024857163254666,0.05296625721615964,2.6784832339061344,146,0.34709609789995644,0.01040582726326743,0.011396546367268555,2.7743530095958127,23.717082451262836,0.18408175010106273,0.08132172546160976,0.08456423374950456,0.19194043801826338,uncertainty_sampling
210.0,178.3,0.3687731596641812,0.3972359112142899,0.03391585774520218,0.03677117699323771,2.7105533576749,185,0.496922024623803,0.013527575442247659,0.014810774370869792,2.7616682068481495,33.49975124285751,0.25661857935747706,0.039107427319948526,0.0421778351715719,0.10023568894899655,uncertainty_sampling
260.0,225.3,0.38120331187094036,0.4343196116818966,0.2349528709050041,0.20616802799286088,2.2831921378258313,235,0.507172131147541,0.06810462507652934,0.07383376455150692,2.6195379614973553,39.27127873310638,0.3037888755808432,0.3718720549474675,0.3055055582907988,0.7678678344448796,uncertainty_sampling
310.0,273.3,0.3956111405045551,0.5680688449526772,0.046405771015552495,0.04981768996257229,2.6738511978384167,285,0.6171875,0.013527575442247659,0.01484172688219301,2.7601046815934867,44.78603452962639,0.2242956621579226,0.07023300077495871,0.07422292559297614,0.1807406804452343,uncertainty_sampling
360.0,323.1,0.41912678819894617,0.5135576879639971,0.08354624535685928,0.08827069618526508,2.5889089338238405,335,0.5533199195171026,0.04162330905306972,0.04548687873134365,2.684937481826112,45.34913940136508,0.23158116395849002,0.0928846000588792,0.0960667720245464,0.2210764547367419,uncertainty_sampling
410.0,371.1,0.43059372419384945,0.530910604805259,0.08687091798434148,0.09301177884891286,2.5706034983535813,385,0.5676353293061991,0.07284079084287201,0.07921244339761929,2.6031717335338866,51.06956040539216,0.25573090158644857,0.08288675191989893,0.08751222256384626,0.2150594546356523,uncertainty_sampling
460.0,420.9,0.44035015122830157,0.5609662429627518,0.10289578380109077,0.10953809521707751,2.5289623109331982,435,0.589210652976095,0.08480749219562955,0.09208557906122772,2.5750218086653094,51.6493519374208,0.2462869654132514,0.09962474016335188,0.10331146385830899,0.25607941392804356,uncertainty_sampling
510.0,469.2,0.4475006454146483,0.4494724748886629,0.15222892387304457,0.15913218933297651,2.421309287648981,485,0.4714456917846749,0.13995837669094693,0.14966648108626396,2.454492585053795,56.623120523137686,0.1840291219380968,0.11606279045326742,0.11759600705929406,0.2798408546800953,uncertainty_sampling
560.0,516.9,0.4442286508371577,0.5307071047957768,0.1167393199651264,0.12482722177493133,2.4942398639573433,535,0.5691438191438192,0.10249739854318418,0.11077647755565177,2.5283512649025877,63.45680945861261,0.20371116804551812,0.07384700975730014,0.07776978712233878,0.18812167933123225,uncertainty_sampling
610.0,566.9,0.4513460745211698,0.5262256926460632,0.12817686012274981,0.1368863015981309,2.4634509220825374,585,0.5695437502320229,0.10613943808532778,0.11486316565175234,2.5144673873125925,63.45680945861261,0.19223695539471966,0.07762442214607555,0.0815355612767333,0.1991270468051626,uncertainty_sampling
660.0,616.9,0.4575004250480271,0.5873069470788906,0.15034083951877913,0.16004280531177123,2.407589047009703,635,0.6075294241277848,0.13787721123829344,0.14804158067920242,2.438997691165617,63.45680945861261,0.06956436361297501,0.0763444226894924,0.07994159273419342,0.1945551742390864,uncertainty_sampling
710.0,666.9,0.46117508130722956,0.5122576829571077,0.1539846097598439,0.16392335974311867,2.3981385668193824,685,0.569994879672299,0.16181061394380852,0.1726261655737797,2.3805529209233107,63.45680945861261,0.18544199551651924,0.07407118450842047,0.07781453826356745,0.18956986024402314,uncertainty_sampling
760.0,716.9,0.46498274302918113,0.5037815975871551,0.17385562942274702,0.18393994153602955,2.34937518464013,735,0.553696682464455,0.15920915712799166,0.1706376256738778,2.378943934518351,63.45680945861261,0.18261091102401172,0.08722146617240906,0.09031682606099081,0.21861193684752717,uncertainty_sampling
810.0,766.9,0.4632144859346812,0.510499263768698,0.19008114814566426,0.20071600006857407,2.3066921770251936,785,0.5420528822131807,0.18314255983350675,0.19584985582187672,2.3119118278664077,63.45680945861261,0.18991682713683353,0.0887611295203737,0.09169740143907898,0.223404028994889,uncertainty_sampling
860.0,816.9,0.4610506581502257,0.49405395664346924,0.19684904627672578,0.2076509655060977,2.2917446368617993,835,0.5350657264734047,0.2029136316337149,0.21456009051781783,2.2816225646990405,63.45680945861261,0.18468034502668096,0.08491387090935823,0.08827781648609431,0.21566329958805777,uncertainty_sampling
