AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std
0.0,0.0,0.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.525127406137521,0.5267010865377205,0.027262292802336798,6.1,6.0,1.911950719959998,269.7,269.5,3.9735234853828265,0.347856315179606,0.347045191193511,0.01256112885233084,0.11746758614304079,0.11783992285438766,0.006002411233233065,0.8547619047619046,0.8571428571428571,0.04552263618952374
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.40584350780407874,0.4108216432865731,0.010693054689867547,1.6,1.0,1.1737877907772674,577.0,577.5,4.760952285695233,0.6778679026651216,0.6767091541135574,0.0067344904496572985,0.06543124427353815,0.06612903225806452,0.0016390298645304676,0.9619047619047618,0.9761904761904762,0.02794732835183969
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.41262190180194336,0.41268254035795837,0.01024754364025284,1.1,1.0,0.8755950357709131,572.5,576.0,15.160255055022436,0.6697566628041717,0.6743916570104287,0.01797617037963709,0.06671162626205775,0.0665070688804866,0.0020732396435184613,0.9738095238095237,0.9761904761904762,0.020847500851688433
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.4053456714000535,0.40661102038347546,0.015362340117001732,1.6,1.5,1.4298407059684812,578.4,579.0,9.582391258043172,0.6794901506373118,0.6761297798377752,0.015653354390700345,0.0653052711515306,0.06553230266465561,0.0026383706008452066,0.961904761904762,0.9642857142857142,0.03404382633258288
0.39999999999999997,0.4,5.851389114294502e-17,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.40683791187040586,0.407021084668992,0.013728297422816381,1.5,1.5,1.509230856356236,576.9,576.0,7.665941994736633,0.6771726535341831,0.6732329084588644,0.00989583022319034,0.06559300631851696,0.06564072249589492,0.002131548423557051,0.9642857142857142,0.9642857142857142,0.035934068008481826
0.5,0.5,0.0,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.45845128021212006,0.45981879663072867,0.03293742187359008,2.7,2.5,1.5670212364724212,444.1,451.5,70.31745476369609,0.5302433371958285,0.5347624565469293,0.07621594643471731,0.08302502276668158,0.08140696228760878,0.013475223923956035,0.9357142857142857,0.9404761904761905,0.037310029439819536
0.6,0.6000000000000001,1.1702778228589004e-16,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.45544124665986774,0.4542890962261523,0.030172925733280405,4.1,4.0,1.3703203194062976,419.2,416.5,57.934445712373915,0.5095017381228273,0.5057937427578216,0.06510120744641837,0.08397494184980694,0.08227316675996132,0.009829157251727737,0.9023809523809525,0.9047619047619048,0.03262667427157851
0.7000000000000001,0.7000000000000001,0.0,objective_aware_sampling,1.0,1.0,0.0,1.0,1.0,0.0,0.41209996424739737,0.41005485613400866,0.020837176539863785,3.4,3.0,1.8973665961010278,522.4,493.5,68.55038698326622,0.625028968713789,0.59675550405562,0.07227759561572152,0.06944246354879055,0.0696862777974201,0.006153678242651967,0.9190476190476191,0.9285714285714286,0.04517539514526257
0.0,0.0,0.0,,2.0,2.0,0.0,1.7169177288528388,1.7120509849362688,0.013948368005380496,0.7860588296538298,0.7819905213270142,0.03362124039734268,8.7,9.0,1.4944341180973262,12.3,13.0,1.636391694484477,0.06465816917728853,0.06488991888760139,0.009426387615778508,0.7306900527009222,0.7291666666666666,0.03059663470277082,0.7928571428571428,0.7857142857142857,0.03558176471660301
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,2.0,2.0,0.0,1.950521436848204,2.0,0.1560582370533027,0.6398504750138241,0.6210502892745884,0.1086993944255587,2.3,2.0,1.6363916944844767,220.0,218.5,117.19025367135082,0.26825028968713793,0.26767091541135574,0.12968697821909173,0.19442182505723798,0.15313852813852813,0.11721540768960108,0.9452380952380952,0.9523809523809523,0.03896170701153516
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,2.0,2.0,0.0,1.9982618771726535,2.0,0.005102296181391634,0.6573853631327863,0.6430384170304425,0.07947627291065613,3.0,3.0,1.4907119849998598,184.7,192.5,79.65348565993693,0.23140208574739285,0.23754345307068367,0.08715222016747871,0.20570886726346532,0.17059896172524794,0.10721335722811165,0.9285714285714286,0.9285714285714286,0.035493142499996654
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,2.0,2.0,0.0,1.7624565469293163,1.7473928157589804,0.1342849094397973,0.8622046837311259,0.8571428571428571,0.026352051185864298,5.6,6.0,1.3498971154211057,7.7,8.0,2.0575065816014617,0.04136732329084589,0.04171494785631518,0.006300722996879983,0.8274287349509365,0.8241545893719806,0.03384543818351214,0.8666666666666666,0.8571428571428571,0.03214040751002633
