AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,crowd_accuracy,f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std
0.0,0.0,0.0,,6.0,6.0,0.0,0.4315151515151515,0.42727272727272725,0.025617563610743202,0.6,0.6711853776881929,0.6724303554274736,0.0021157664444736795,0.4,0.0,0.5163977794943222,680.3,681.0,2.110818693198342,0.827030303030303,0.826060606060606,0.0030797315555813544,0.17026497414864172,0.17042002661284825,0.000518239196659882,0.9971428571428571,1.0,0.003688555567816574
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,6.0,6.0,0.0,0.5717575757575758,0.5654545454545454,0.03310691390312544,0.6,0.6753514037300433,0.674698795180723,0.0011201949202234024,0.0,0.0,0.0,673.0,675.0,3.4318767136623336,0.8157575757575758,0.8181818181818182,0.004159850562014976,0.1722044972110524,0.17177914110429449,0.0007304841974654489,1.0,1.0,0.0
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,6.0,6.0,0.0,0.8992727272727272,0.8927272727272728,0.03312860299336836,0.6,0.6743793857176994,0.674698795180723,0.0015002409139071638,0.1,0.0,0.31622776601683794,674.6,675.0,0.9660917830792959,0.8183030303030303,0.8181818181818182,0.002386918058624943,0.17176196235853522,0.17177914110429449,0.00040546434284717217,0.9992857142857143,1.0,0.00225876975726312
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,1.6575757575757575,1.667878787878788,0.03988044576087778,0.6,0.6753504269903923,0.675186921343945,0.0007211910001726372,0.0,0.0,0.0,673.0,673.5,2.211083193570267,0.8157575757575758,0.8163636363636364,0.0026801008406912496,0.17220287183401148,0.17209594700369607,0.0004697570936814929,1.0,1.0,0.0
0.39999999999999997,0.4,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,2.3832727272727277,2.3806060606060604,0.046391862185660986,0.6,0.6750893903138556,0.675186921343945,0.00036958945720934794,0.0,0.0,0.0,673.8,673.5,1.1352924243950935,0.8167272727272727,0.8163636363636364,0.0013761120295698191,0.17203274175796784,0.17209594700369607,0.00024001916387951684,1.0,1.0,0.0
0.5,0.5,0.0,objective_aware_sampling,6.0,6.0,0.0,2.7881212121212124,2.756969696969697,0.09730883456689256,0.6,0.6757830522225392,0.6750545503593837,0.0016075748272091814,0.1,0.0,0.31622776601683794,670.3,673.5,6.056218108504496,0.8130909090909091,0.8163636363636364,0.006383326919800098,0.1726809990495955,0.17209594700369607,0.0011338517835834424,0.9992857142857143,1.0,0.00225876975726312
0.6,0.6000000000000001,1.1702778228589004e-16,objective_aware_sampling,6.0,6.0,0.0,3.464363636363636,3.464848484848485,0.025804552131811893,0.6,0.6752848922284939,0.675186921343945,0.0004807928601874179,0.0,0.0,0.0,673.2,673.5,1.4757295747452437,0.8160000000000001,0.8163636363636364,0.0017887631209033371,0.17215988096696447,0.17209594700369607,0.0003126158279982686,1.0,1.0,0.0
0.7000000000000001,0.7000000000000001,0.0,objective_aware_sampling,6.0,6.0,0.0,4.217939393939394,4.205454545454545,0.07313867924284391,0.6,0.6759405697070956,0.6750241080038573,0.0017175803434796328,0.0,0.0,0.0,671.2,674.0,5.2451035367389185,0.8135757575757576,0.816969696969697,0.006357701256653247,0.17259037727504686,0.171990171990172,0.0011257345116594912,1.0,1.0,0.0
0.0,0.0,0.0,,6.0,6.0,0.0,4.465696969696969,4.484848484848484,0.09717453113378682,0.7,0.7859987799797741,0.7890116282393564,0.010883843604920835,7.5,7.5,1.7795130420052185,293.3,295.0,11.518584017915474,0.400969696969697,0.39454545454545453,0.017338936251560536,0.3113771081777016,0.31184232228269837,0.008912524007161528,0.9464285714285714,0.9464285714285714,0.012710807442894422
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,6.0,6.0,0.0,1.8267878787878788,2.015151515151515,0.6356813915380891,0.7,0.7198085346062946,0.726376046296236,0.022547939031433834,1.1,1.0,0.8755950357709131,532.6,510.5,65.49164492937672,0.6522424242424243,0.6248484848484849,0.07765452650808699,0.20845836268037843,0.21401394828419984,0.01832887738324675,0.9921428571428571,0.9928571428571429,0.006254250255506528
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,6.0,6.0,0.0,3.1374545454545455,3.3927272727272726,1.2558751163741413,0.7,0.758679271023919,0.7767838294608698,0.04919916305635227,1.8,2.0,1.4757295747452437,431.0,390.5,130.35507065106614,0.5333333333333333,0.4793939393939394,0.1524373283268967,0.2546992937172566,0.26257455552067577,0.058164265503312426,0.9871428571428572,0.9857142857142858,0.010540925533894598
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,4.331515151515151,4.357575757575757,0.36804964996908096,0.7,0.7877309638106759,0.7926806237522257,0.02034912892712333,2.8,3.0,1.8135294011647258,345.4,333.5,43.846195831438884,0.4356363636363637,0.42303030303030303,0.05233906394395232,0.2863153094315233,0.2900473431317129,0.02496226657142044,0.9799999999999999,0.9785714285714285,0.012953781436890901
