AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,crowd_accuracy,f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std
0.0,0.0,0.0,,6.0,6.0,0.0,0.0828,0.0824,0.005411920998027308,0.6,0.36947799771527395,0.3694779182679476,0.00018796322350041054,0.0,0.0,0.0,4710.0,4710.0,3.80058475033046,0.942,0.942,0.0007601169500660958,0.05535502292509342,0.05535499620980447,4.218781800750332e-05,1.0,1.0,0.0
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,6.0,6.0,0.0,0.71158,0.6441,0.13943216431098113,0.6,0.37262134815980535,0.3709463085301561,0.0034843463055661958,0.5,0.0,0.7071067811865476,4634.7,4667.5,77.18671445844089,0.92744,0.9339999999999999,0.015049193407695373,0.05611926869133395,0.055736493820530995,0.0008232985824417478,0.9981884057971016,1.0,0.002561981091255618
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,6.0,6.0,0.0,1.30528,1.2436,0.1568656665218152,0.6,0.3730801972592422,0.3717448611772445,0.004691876121977823,0.4,0.0,0.6992058987801011,4628.5,4654.5,85.63391072855815,0.9260999999999999,0.9317,0.017258621034138277,0.05621429639981958,0.05590445272213639,0.0010560505083643816,0.9985507246376812,1.0,0.002533354705725015
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,2.1013,1.9973999999999998,0.25936997598882655,0.6,0.37812611348847436,0.37518742781822,0.007269765843956067,0.8,1.0,0.7888106377466155,4521.1,4580.0,134.81299805450678,0.90502,0.9165,0.027026974180128536,0.05741968320653949,0.056689279190479155,0.0016744940322394914,0.9971014492753623,0.9963768115942029,0.0028580095570529675
0.39999999999999997,0.4,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,2.68636,2.6493,0.18044714338430395,0.6,0.37866600003465894,0.37703632150367306,0.005633899521094858,0.7,0.0,0.9486832980505138,4512.3,4540.0,103.16120071680696,0.90316,0.9095,0.020628093034069407,0.05752757090956906,0.057122531894043274,0.0013000134028644335,0.997463768115942,1.0,0.0034372583262699927
0.5,0.5,0.0,objective_aware_sampling,6.0,6.0,0.0,3.31494,3.3116,0.16270133646927704,0.6,0.37893593929566227,0.3779807498685285,0.004291240155548493,1.2,1.0,1.4757295747452437,4493.9,4492.5,88.41876372002595,0.8999799999999999,0.899,0.01715198725123903,0.05764193272883037,0.05761306434185244,0.0010058215436803113,0.9956521739130435,0.9963768115942029,0.005346846285308846
0.6,0.6000000000000001,1.1702778228589004e-16,objective_aware_sampling,6.0,6.0,0.0,4.13538,4.140000000000001,0.15133942572171272,0.6,0.3866841091089078,0.38720874804949296,0.00452512911243357,0.9,0.5,1.1005049346146119,4356.1,4360.0,86.57360388067998,0.87212,0.8725,0.01705786231233757,0.05941910063455732,0.05943336244765844,0.0010685063577968138,0.9967391304347826,0.9981884057971014,0.003987336719618176
0.7000000000000001,0.7000000000000001,0.0,objective_aware_sampling,6.0,6.0,0.0,4.8291,4.8258,0.14587267659770203,0.6,0.3909944880181891,0.39036656909158807,0.005367047249558915,0.3,0.0,0.48304589153964794,4292.7,4298.0,93.91609730676277,0.85884,0.8601,0.018857783538899813,0.06037272598659895,0.06023924962981195,0.0012689449110185572,0.9989130434782609,1.0,0.0017501662736943843
0.0,0.0,0.0,,6.0,6.0,0.0,6.0,6.0,0.0,0.7,0.7086489866308435,0.7097383472137786,0.011551134827667729,18.6,20.5,4.926120853842978,891.0,890.0,46.32254070944056,0.1968,0.19779999999999998,0.00821975939090947,0.22443010912587297,0.2223676556137289,0.008438498462111425,0.932608695652174,0.9257246376811594,0.017848263963199204
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,6.0,6.0,0.0,3.973440000000001,3.9121,0.705663916228304,0.7,0.5565159452611033,0.541852151740464,0.059049500371053394,7.0,6.5,1.9436506316151,2134.3,2211.5,565.6669711254337,0.43385999999999997,0.44930000000000003,0.1119293844846433,0.11719764417843967,0.10844853276747787,0.025488459836306324,0.9746376811594202,0.9764492753623188,0.007042212433388075
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,6.0,6.0,0.0,5.04786,5.0696,0.16758740472428782,0.7,0.6440850837148873,0.6444245935382409,0.012026385124832227,10.2,11.0,2.0976176963403033,1378.2,1395.5,78.52076866097983,0.28584000000000004,0.2891,0.015321096566499407,0.16200605036077367,0.16015013265329045,0.007652251496485572,0.9630434782608696,0.9601449275362319,0.007600064117174993
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,5.18708,5.1678999999999995,0.12027288232275074,0.7,0.6604307526777164,0.6541046015838654,0.01938995610678794,9.0,9.0,2.260776661041756,1294.5,1316.5,106.46987054248414,0.26789999999999997,0.2733,0.021797298507434868,0.17176062483569024,0.1680921176123833,0.012719485491072689,0.9673913043478262,0.967391304347826,0.008191219786383177
