AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std
0.0,0.0,0.0,,3.0,3.0,0.0,2.42394,2.4233000000000002,0.017563358322244548,0.9603498116230897,0.9595492983549185,0.01049139424791676,11.2,11.5,3.190262963734773,8.5,9.0,2.9907264074877267,0.0129,0.0131,0.003238998473465388,0.9689991845016113,0.9668498168498169,0.010596229030883893,0.9594202898550727,0.9583333333333334,0.011558923781647733
0.29999999999999993,0.3,5.851389114294502e-17,objective_aware_sampling,3.0,3.0,0.0,1.9185400000000001,1.9174,0.02091953897941132,0.9839932880758742,0.9833091436865021,0.008239942661897455,4.8,5.0,2.485513584307633,0.9,1.0,0.5676462121975466,0.00498,0.0052,0.0025481147715299027,0.9966868785039009,0.9963235294117647,0.0021040787852512465,0.9826086956521738,0.9818840579710145,0.009005484001114606
0.5,0.5,0.0,objective_aware_sampling,3.0,3.0,0.0,2.27318,2.2737,0.012615493120233837,0.9905716406423576,0.990027231099794,0.0037411155014678617,2.8,3.0,1.1352924243950935,0.8,1.0,0.7888106377466155,0.00296,0.0031000000000000003,0.0011577756451249285,0.9970869180539126,0.9963702239789196,0.002873282053965699,0.9898550724637684,0.9891304347826086,0.004113378349257566
0.7000000000000001,0.7,1.1702778228589004e-16,objective_aware_sampling,3.0,3.0,0.0,2.65668,2.6562,0.014581327481101006,0.9927115143062061,0.993113446901051,0.006076692783431782,2.1,2.0,1.8529256146249728,1.2,1.0,0.7888106377466155,0.0023399999999999996,0.0022,0.0018691649947978851,0.9956440758902112,0.99635700066357,0.0028411104681632863,0.9923913043478262,0.9927536231884058,0.006713498603713661
0.0,0.0,0.0,,6.0,6.0,0.0,2.42984,2.4271000000000003,0.020195224958170388,0.9625392905020437,0.9606639761029581,0.008738833603985809,10.5,11.0,2.758824226207808,8.8,8.5,2.043961295567452,0.01226,0.0129,0.0025992306554055568,0.9679927415183999,0.9691650853889944,0.007064575115977831,0.9619565217391305,0.9601449275362319,0.009995739950028283
0.29999999999999993,0.3,5.851389114294502e-17,objective_aware_sampling,6.0,6.0,0.0,2.45238,2.4487,0.019271037566485287,0.9950707807073063,0.9961963739245916,0.003958459409142652,1.4,1.0,1.1737877907772671,1.0,1.0,1.247219128924647,0.0015999999999999996,0.0013,0.001254325848148452,0.9963858725304474,0.9963768115942029,0.004488764422877796,0.9949275362318841,0.9963768115942029,0.00425285431441038
0.5,0.5,0.0,objective_aware_sampling,6.0,6.0,0.0,3.2886200000000003,3.2885,0.00925656523771098,0.997354743691174,0.9967379485320769,0.0021001016356246437,0.7,1.0,0.674948557710553,1.0,1.0,0.816496580927726,0.0009000000000000001,0.001,0.000627162924074226,0.9963911808867142,0.9963898916967509,0.0029441202666320933,0.997463768115942,0.9963768115942029,0.0024454657888063618
0.7000000000000001,0.7,1.1702778228589004e-16,objective_aware_sampling,6.0,6.0,0.0,4.284420000000001,4.283200000000001,0.007250716439696777,0.9979349793071617,0.9992758870383781,0.0023854258603136494,0.5,0.0,0.7071067811865476,1.2,1.5,0.9189365834726815,0.00074,0.0004,0.0007604092465391397,0.9956717376059914,0.9945912834949432,0.0033121794384388804,0.9981884057971016,1.0,0.002561981091255618
0.29999999999999993,0.3,5.851389114294502e-17,uncertainty_sampling,3.0,3.0,0.0,2.04584,2.0256,0.07192315652447713,0.9860272976615022,0.9883926532236081,0.008077945323639915,4.2,3.5,2.440400695696417,0.7,1.0,0.674948557710553,0.004339999999999999,0.0036,0.0024945273433391478,0.9974289161316717,0.9963702239789196,0.0024939740892482316,0.9847826086956519,0.9873188405797102,0.00884203150614643
0.5,0.5,0.0,uncertainty_sampling,3.0,3.0,0.0,2.3499,2.35,0.014254589904074147,0.9872604866155441,0.9898477157360407,0.009813401130528152,3.8,3.0,2.973961069759395,0.9,1.0,0.8755950357709131,0.00398,0.0032,0.0030220669894773823,0.9967057135141498,0.9963503649635036,0.003207660092842397,0.9862318840579711,0.9891304347826086,0.010775221267244187
0.7000000000000001,0.7,1.1702778228589004e-16,uncertainty_sampling,3.0,3.0,0.0,2.78042,2.7835,0.01916465496689144,0.9913308118672829,0.993113446901051,0.005578466962519759,2.6,2.0,1.7126976771553504,0.5,0.0,0.7071067811865476,0.0026999999999999997,0.0022,0.001705546507395471,0.9981817019220406,1.0,0.002563246685996805,0.9905797101449275,0.9927536231884058,0.006205426366504877
0.29999999999999993,0.3,5.851389114294502e-17,uncertainty_sampling,6.0,6.0,0.0,2.5564999999999998,2.5562,0.0128150085620121,0.9922040075072067,0.9902067464635472,0.003993472792353084,2.3,3.0,1.2516655570345725,0.8,0.5,1.0327955589886446,0.0024600000000000004,0.003,0.00120756872360219,0.9971026525376446,0.9981751824817517,0.0037277693300138887,0.9916666666666666,0.9891304347826086,0.004535020134183237
0.5,0.5,0.0,uncertainty_sampling,6.0,6.0,0.0,3.46184,3.4612,0.014428305513815604,0.9962302026821066,0.99655738006314,0.0033106342050023213,1.1,1.0,0.9944289260117533,0.5,0.5,0.5270462766947299,0.0012000000000000001,0.0010999999999999998,0.0010327955589886446,0.9981857516212298,0.9981949458483754,0.0019124119444006234,0.9960144927536231,0.9963768115942029,0.0036030033551150637
