AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std
0.0,0.0,0.0,,1.0,1.0,0.0,0.999878787878788,1.0,0.00038330638305071504,0.6564584848274306,0.6590445472776191,0.01002288848784444,4.9,4.5,2.1317702607092643,662.9,663.5,2.7264140062238043,0.8332121212121212,0.8278787878787879,0.014446351502278168,0.16929666734491688,0.17022618121327573,0.0024869338609035136,0.9649999999999999,0.9678571428571429,0.015226930433637612
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,1.0,1.0,0.0,0.9995151515151516,1.0,0.0008475223015516431,0.6838238602368346,0.6819392395032202,0.00889836363615075,0.7,0.5,0.8232726023485646,638.2,649.5,36.17488385913937,0.7778181818181817,0.7903030303030303,0.039331418919653055,0.17949513940383585,0.17681384085268392,0.007759158494018435,0.9949999999999999,0.9964285714285714,0.005880518588204012
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,1.0,1.0,0.0,0.999878787878788,1.0,0.00038330638305071504,0.6792379351575045,0.6794916965316308,0.005668614786645263,1.0,0.0,1.4907119849998598,647.5,651.5,23.33452377915607,0.7909090909090908,0.7945454545454546,0.02282202470759123,0.17684828322809537,0.17613321601981294,0.004348498468972636,0.9928571428571429,1.0,0.010647942749999001
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,1.0,1.0,0.0,0.9984242424242424,1.0,0.003430776519653129,0.6804049360906163,0.678205988924917,0.006690805555354355,0.4,0.0,0.6992058987801011,652.3,655.0,22.544030991225444,0.7930909090909092,0.7945454545454546,0.025656088439051854,0.17640765213909324,0.17606051854704147,0.004794959635448234,0.9971428571428571,1.0,0.004994327848429275
0.39999999999999997,0.4,5.851389114294502e-17,objective_aware_sampling,1.0,1.0,0.0,0.9997575757575758,1.0,0.0005110751774009535,0.6792971444482251,0.67862591527679,0.004456735658628359,0.2,0.0,0.6324555320336759,658.3,663.0,17.410405573168656,0.7991515151515152,0.8036363636363637,0.018830623689399757,0.17523494283489607,0.17435052799890816,0.0034724562340184856,0.9985714285714286,1.0,0.004517539514526239
0.5,0.5,0.0,objective_aware_sampling,1.0,1.0,0.0,0.999878787878788,1.0,0.00038330638305071504,0.6812536092322696,0.6778029779545853,0.009162614369286821,0.9,0.5,1.1005049346146119,643.1,660.5,34.03739773314706,0.784969696969697,0.8066666666666666,0.037382799884046886,0.1781225044819325,0.17385651795715815,0.007357278651098781,0.9935714285714285,0.9964285714285714,0.007860749532961508
0.6,0.6000000000000001,1.1702778228589004e-16,objective_aware_sampling,1.0,1.0,0.0,0.9998787878787878,1.0,0.00038330638305071515,0.6877730506530013,0.686247887856773,0.00467735591919545,0.4,0.0,0.6992058987801011,630.2,630.0,13.456101466125569,0.7663030303030303,0.7666666666666666,0.015499571301805104,0.18139202923197942,0.18128597195201038,0.0030113785902403122,0.9971428571428571,1.0,0.004994327848429275
0.7000000000000001,0.7000000000000001,0.0,objective_aware_sampling,1.0,1.0,0.0,0.9996363636363637,1.0,0.0005855101715632133,0.6873793916190759,0.6877937309086977,0.0045796258245152975,0.2,0.0,0.42163702135578396,634.1,634.5,15.701733803769711,0.769818181818182,0.7703030303030303,0.017781909529050482,0.1807079343960522,0.18053236845430903,0.00350399139604797,0.9985714285714286,1.0,0.00301169300968416
0.0,0.0,0.0,,2.0,2.0,0.0,1.9995151515151517,2.0,0.0008475223015516432,0.692315837358476,0.6916952299343045,0.011976133513711193,6.1,5.5,2.330951164939612,540.2,541.0,8.337332373793856,0.6917575757575757,0.7,0.018320904599732925,0.19865661737620194,0.1968715217045635,0.0039320891495971235,0.9564285714285715,0.9607142857142857,0.016649651178140077
0.09999999999999999,0.1,1.4628472785736255e-17,objective_aware_sampling,2.0,2.0,0.0,1.9883636363636363,2.0,0.03594915294963352,0.7346239636879772,0.7308096740273395,0.007075418488937346,1.3,1.0,1.0593499054713802,489.5,493.0,22.711964541477546,0.6012121212121213,0.6090909090909091,0.02420873079425494,0.22103112032078936,0.21891781035636818,0.007337340684391611,0.9907142857142857,0.9928571428571429,0.007566785039081301
0.19999999999999998,0.2,2.925694557147251e-17,objective_aware_sampling,2.0,2.0,0.0,1.999757575757576,2.0,0.0005110751774009535,0.7325804129075911,0.7344732151233699,0.007170858417707483,1.7,2.0,1.4181364924121764,489.6,488.5,15.32753513560916,0.6037575757575757,0.6066666666666667,0.01716529885992421,0.22036181537454474,0.21972721566529124,0.004958623742483085,0.9878571428571428,0.9857142857142858,0.010129546374372696
0.3,0.30000000000000004,5.851389114294502e-17,objective_aware_sampling,2.0,2.0,0.0,1.9774545454545454,2.0,0.05404242420466485,0.7327026134687047,0.7299824529504675,0.010677622149754649,0.9,1.0,1.1972189997378648,499.6,504.0,23.46249963002427,0.6110303030303031,0.623030303030303,0.0290597476200613,0.21805568838940795,0.21433553178356363,0.008361595072772286,0.9935714285714287,0.9928571428571429,0.008551564283841892
