num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,fn_count_mean,fp_count_mean,precision_median,recall_median,f_beta_median,loss_median,fn_count_median,fp_count_median,precision_std,recall_std,f_beta_std,loss_std,fn_count_std,fp_count_std,sampling_strategy
240,0.10694268803600984,0.7168974145120948,0.4545764118721761,0.11849783888741953,31.0,660.0,0.10758620689655173,0.7339449541284404,0.4548104956268221,0.11731356301788051,29.0,651.0,0.009203554349338502,0.07502423882432428,0.03568668731946953,0.010432921729194418,8.335341123588531,91.16823233092423,objective_aware_sampling
440,0.3962147022463995,0.2928940783986644,0.2931306491125366,0.06627028460107996,77.4,68.8,0.36231884057971014,0.30275229357798167,0.3179190751445087,0.06846925425207152,76.0,88.0,0.17806067842835396,0.10289597833114017,0.09655682433841672,0.008490596645508587,11.557908370533125,42.99891344414473,objective_aware_sampling
640,0.36335296022464353,0.33484570475396125,0.3297742497010598,0.06528205631303141,72.8,85.0,0.36231884057971014,0.3394495412844037,0.33726812816188867,0.06454426515481901,72.0,88.0,0.14456696455068568,0.07862535094946563,0.07091479072724928,0.007642589760295533,8.881931261210603,51.93494482257443,objective_aware_sampling
840,0.5400555568449535,0.5262885738115107,0.5247306823397991,0.045305297328509214,51.8,52.6,0.5631067961165048,0.5412844036697247,0.5503731343283582,0.04362367311327614,50.0,45.0,0.07754087273820875,0.07417141366834204,0.06487905912376597,0.004321531555873716,7.951670254044729,21.997707728287168,objective_aware_sampling
1040,0.5572694520773156,0.4862718932443679,0.4904792394387695,0.047631259070693655,56.2,46.6,0.5777777777777777,0.47706422018348627,0.48552754435107376,0.04840819886611426,57.0,38.0,0.10484855740371778,0.03313506556645526,0.029488411129405943,0.003497002651936535,3.607851699621658,23.84769724219634,objective_aware_sampling
1240,0.6410175192422747,0.5522268557130939,0.5598618883491261,0.04056489200525006,49.0,34.0,0.6428571428571429,0.5596330275229358,0.5716963448922211,0.03853424458339392,48.0,35.0,0.040577141367234025,0.03143069423990945,0.03102094057465749,0.002984900567809566,3.6412811717070936,4.827377282600909,objective_aware_sampling
1440,0.6559728048982485,0.5576146788990833,0.5658014909993345,0.03989625780248515,48.4,32.4,0.6818181818181818,0.5504587155963303,0.5612722170252573,0.03969754253308128,49.0,29.0,0.04439374869182583,0.03212272318330783,0.03046755274433852,0.002700460164749379,3.5633855944841506,6.636277770588099,objective_aware_sampling
1640,0.6942360210755106,0.5447706422018355,0.555989900416693,0.04012904422386065,49.8,27.0,0.6868686868686869,0.5454545454545454,0.5529953917050692,0.04143044047099869,50.0,30.0,0.05290939508599411,0.046449585745896624,0.04216945243313676,0.0030577812033834805,5.047623665934024,7.255677763867699,objective_aware_sampling
1840,0.7001764669708912,0.5302085070892395,0.5428767492518026,0.04103041411542589,51.4,25.2,0.6938775510204082,0.509090909090909,0.5243445692883895,0.04231496291987785,54.0,28.0,0.04218212770401956,0.04837581662407538,0.044955500667392956,0.003505409877787452,5.326830165982851,5.46830799649193,objective_aware_sampling
2040,0.6914493045487723,0.5557964970808991,0.5664207278133958,0.03934383501868,48.6,27.6,0.6785714285714286,0.5363636363636364,0.5487228003784295,0.03969754253308128,51.0,27.0,0.044900809468618796,0.040059570106991814,0.03639331692501532,0.0028268256755742,4.419874898415915,6.359029399362825,objective_aware_sampling
2240,0.6844459322762522,0.5576146788990827,0.5675576057038945,0.03934389420668434,48.4,28.6,0.6666666666666666,0.5454545454545454,0.5535055350553505,0.04013377926421405,50.0,28.0,0.042024405197372584,0.04457699345611572,0.040140585162456006,0.0030127263537993213,4.894874768058407,6.637793421577509,objective_aware_sampling
2440,0.6709585626703527,0.588740617180982,0.595798817647973,0.03733726443147825,45.0,31.8,0.6666666666666666,0.5727272727272728,0.5816135084427768,0.03751635887741748,47.0,33.0,0.032082890243298856,0.032362203771539304,0.029791302700586792,0.0025267635239585038,3.642532256152767,4.633584259812641,objective_aware_sampling
2640,0.6704971099166807,0.6033527939949953,0.6092797667061617,0.03629045692991453,43.4,32.6,0.6635514018691588,0.6,0.6055045871559633,0.036353060927730114,44.0,34.0,0.027255309608146663,0.026612067301901625,0.024417083399633034,0.0020998581865346185,3.0146029071555556,4.08999294963235,objective_aware_sampling
2840,0.6700311461718931,0.6088407005838197,0.6142901189732742,0.03591240200712436,42.8,33.0,0.6699029126213593,0.6090909090909091,0.6113138686131387,0.035625999709175515,43.0,34.0,0.03050685458091712,0.02300024072021793,0.02143173364068202,0.0019535200239218812,2.6453404482138994,4.528892752673364,objective_aware_sampling
3040,0.6604997605651884,0.6142952460383649,0.6184409756259422,0.03573799186896332,42.2,34.8,0.6634615384615384,0.6181818181818182,0.6176203451407811,0.035916824196597356,42.0,35.0,0.030477664821415316,0.01786290960680363,0.01606683429651013,0.0014692198459088537,2.045297099069889,5.089588452372662,objective_aware_sampling
3240,0.6586525195272015,0.6088240200166815,0.6132952930198752,0.03617412713494571,42.8,34.8,0.6666666666666666,0.6090909090909091,0.6085376930063578,0.035916824196597356,43.0,34.0,0.03488911152704667,0.018476580583354565,0.017616593116864643,0.0017796104101002607,2.14154311106541,5.507570547286095,objective_aware_sampling
3440,0.6608008923710275,0.6161134278565465,0.6200025079528285,0.03562167898485297,42.0,35.0,0.6699029126213593,0.6330275229357798,0.6329113924050632,0.035761011774967294,40.0,34.0,0.03622086993452335,0.02264892342117773,0.019773142158782668,0.001651019295300956,2.5372957696108656,6.406357788817547,objective_aware_sampling
3640,0.6644928064620012,0.6216180150125099,0.6254832326402683,0.03512730272252339,41.4,34.6,0.660377358490566,0.6272727272727273,0.6267029972752043,0.03431728951577723,41.0,36.0,0.03346418752399247,0.01781376828078712,0.016564356495967443,0.001623498973219644,2.0653943106672363,5.215829564774954,objective_aware_sampling
3840,0.6618213727969052,0.6160967472894084,0.6201423637968496,0.035592647268686065,42.0,34.8,0.6571428571428571,0.6238532110091743,0.6255666364460563,0.03577141195288643,41.0,36.0,0.034588472821975046,0.015023906236177333,0.01251830803406712,0.001092616965741015,1.678573818124499,5.897233121605937,objective_aware_sampling
4040,0.6573006883443777,0.621584653878233,0.6247345296334701,0.035301856602980956,41.4,35.8,0.6481481481481481,0.6272727272727273,0.6261343012704176,0.03577141195288643,41.0,38.0,0.03345048305332321,0.01668061425640262,0.013979727245061569,0.0011534142924989413,1.8607357852037045,5.689361226783823,objective_aware_sampling
4240,0.654151887672926,0.6197331109257715,0.6227614024299721,0.03550545911046391,41.6,36.2,0.6448598130841121,0.6238532110091743,0.6284658040665436,0.03547027184183748,41.0,38.0,0.032639179887251984,0.015091934177988096,0.011958551420140021,0.0008739050615969285,1.6302509379863488,5.795161138178105,objective_aware_sampling
4440,0.6545172194738513,0.6252376980817351,0.627726587701667,0.03512735345509879,41.0,36.6,0.6513761467889908,0.6238532110091743,0.6290471785383905,0.03504435073433183,41.0,38.0,0.04109664807528423,0.017141577907341582,0.014573295059196497,0.001353853672227803,1.9039432764659747,6.998412518405712,objective_aware_sampling
4640,0.6592224160565142,0.628940783986654,0.6316816947786108,0.034720165350991185,40.6,35.8,0.6605504587155964,0.6272727272727273,0.6261343012704176,0.03460811400319907,41.0,37.0,0.031751389219883,0.021141155139142453,0.019816380473862524,0.001901183098226105,2.425286454934599,5.053953506233066,objective_aware_sampling
4840,0.6571864087613176,0.6289074228523762,0.6314252581703265,0.03477839789190925,40.6,36.2,0.6574074074074074,0.6330275229357798,0.6334841628959276,0.03460811400319907,40.0,37.0,0.03298308809422317,0.015370812903905873,0.013598782479818295,0.001321587170275498,1.75005330409225,5.656590397525099,objective_aware_sampling
5040,0.6513827536716452,0.6271226021684742,0.6293221512167886,0.03503998773286327,40.8,37.0,0.6574074074074074,0.6272727272727273,0.6313834726090994,0.03388105278464447,41.0,37.0,0.038461906885445485,0.020757260057528096,0.020750599704060537,0.002203021717302688,2.409284367356979,5.749283743727698,objective_aware_sampling
5240,0.6436870889581159,0.6307923269391157,0.6319610295197332,0.03495272347577844,40.4,38.4,0.6574074074074074,0.6330275229357798,0.6382978723404256,0.03359022829722263,40.0,37.0,0.03462786751609522,0.022249698613426513,0.022348985167648768,0.0023446382892850404,2.587189283198418,5.182165445996245,objective_aware_sampling
5440,0.6416980297106666,0.6307756463719769,0.6317220171757808,0.03501092219497951,40.4,38.8,0.6513761467889908,0.6330275229357798,0.638888888888889,0.033735640540933545,40.0,38.0,0.03603208854770609,0.017505361679886505,0.017813672260187076,0.0019892623929992355,2.0677597181734773,5.659230579884729,objective_aware_sampling
5640,0.6338982220016699,0.6362802335279399,0.6357769234700091,0.03483641904709718,39.8,40.6,0.6293103448275862,0.6330275229357798,0.638888888888889,0.033444816053511704,40.0,40.0,0.03897549509268393,0.02357352605554219,0.02195713433853231,0.0021660973005084815,2.724804837691831,6.800154796999689,objective_aware_sampling
5840,0.6298698162604308,0.6380984153461217,0.6370493309665819,0.034807345053784265,39.6,41.4,0.6347826086956522,0.6330275229357798,0.6382978723404256,0.03359022829722263,40.0,42.0,0.03896088953422725,0.02088393584873894,0.020202550565444698,0.002142862898533372,2.427669248816927,6.7118955060700705,objective_aware_sampling
6040,0.631556960343703,0.6362802335279397,0.6353635809605565,0.03495268965406153,39.8,41.4,0.6371681415929203,0.6330275229357798,0.639481000926784,0.03329940380980079,40.0,40.0,0.05313764069171109,0.022851364276558036,0.022202991672903617,0.0024752061794966625,2.6508344114491664,9.816195409001002,objective_aware_sampling
6240,0.6277462325127465,0.6326105087572986,0.6316818592770277,0.035301679038967776,40.2,41.8,0.6346153846153846,0.6272727272727273,0.6302131603336423,0.03417187727206631,41.0,40.0,0.050280040316244556,0.02156230076573679,0.02035264636136437,0.0022348901410140223,2.4944382578492874,9.564243173129142,objective_aware_sampling
6440,0.6429832674206241,0.6362468723936617,0.636548037692148,0.03463292646019396,39.8,39.2,0.6517857142857143,0.6363636363636364,0.6283662477558348,0.03489893849062091,40.0,37.0,0.04212184212006,0.02271323056706193,0.020443629622706398,0.0019684429433854704,2.5748373218598792,8.027346876293594,objective_aware_sampling
6640,0.6407579926067211,0.6380984153461224,0.6380763738752901,0.03454562838139214,39.6,39.6,0.6513761467889908,0.6272727272727273,0.6302131603336423,0.03417187727206631,41.0,38.0,0.04217122768849265,0.024642588727856633,0.02338611452855701,0.0023613542208588464,2.81568639724676,7.487517702704598,objective_aware_sampling
6840,0.6360147333711248,0.6326105087572964,0.6327307299629389,0.03503997927743411,40.2,40.0,0.6509433962264151,0.6330275229357798,0.6347746090156393,0.03446270175948815,40.0,37.0,0.03964724790640595,0.022356901645978606,0.021911389817251863,0.0023116536744756874,2.576450123347089,7.169711424092461,objective_aware_sampling
7040,0.6410955748429432,0.639949958298582,0.6398536909966794,0.03440016540510609,39.4,39.6,0.6605504587155964,0.6422018348623854,0.6457564575645757,0.03315399156608986,39.0,37.0,0.04303148829394867,0.024946331741719514,0.025010971945748924,0.002669963599145667,2.8886508611232897,7.438524421524761,objective_aware_sampling
7240,0.6437874785147508,0.6381150959132609,0.6384561241922938,0.03445834721344887,39.6,39.0,0.6574074074074074,0.6330275229357798,0.6382978723404256,0.03359022829722263,40.0,37.0,0.041108168419171615,0.026388687421389192,0.025700449738579587,0.0026153460168545236,3.02690636825161,7.003859939637153,objective_aware_sampling
7440,0.6382015840363296,0.6399332777314424,0.6395863208684612,0.03445838103516566,39.4,40.0,0.6542056074766355,0.6422018348623854,0.6433823529411765,0.033735640540933545,39.0,39.0,0.03742713262079633,0.02314489660196364,0.022752677100568754,0.0023783823081260256,2.672457480579859,6.433607413250056,objective_aware_sampling
