num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,fn_count_mean,fp_count_mean,precision_median,recall_median,f_beta_median,loss_median,fn_count_median,fp_count_median,precision_std,recall_std,f_beta_std,loss_std,fn_count_std,fp_count_std,sampling_strategy
240,0.24420668155842287,0.37733711048158664,0.356990255186915,0.21957636960976376,219.8,411.2,0.2434640522875817,0.41076487252124644,0.3883235136582752,0.21561500436173306,208.0,435.0,0.014488053407464953,0.06046565057438331,0.05172889981230804,0.009489804280537922,21.344374652757313,55.15003267830101,objective_aware_sampling
440,0.5590909090909092,0.06005665722379609,0.06270039260074732,0.24571704282659035,331.8,31.0,0.4025974025974026,0.0028328611898017,0.0031466331025802393,0.2558883396336144,352.0,0.0,0.3889977707933,0.10254441775339124,0.10605479517573389,0.018450503841675753,36.1981794669471,54.013962979227045,objective_aware_sampling
640,0.29846059839865213,0.10934844192634545,0.11273792200134096,0.23804003745792268,314.4,65.2,0.3687315634218289,0.042492917847025496,0.04669987546699876,0.24861878453038674,338.0,20.0,0.15346559971757173,0.13002239036789248,0.1301001252521809,0.02192206157940085,45.89790379986604,78.71962853264736,objective_aware_sampling
840,0.288698605073683,0.3031161473087827,0.29914697002267415,0.2076243034726038,246.0,198.0,0.34210526315789475,0.3314447592067989,0.33248081841432225,0.19979642285880472,236.0,225.0,0.14880577823379149,0.16658366849823353,0.15998969565455967,0.02550752833202974,58.80403497987642,126.23235257891234,objective_aware_sampling
1040,0.27815810057758633,0.3546742209631731,0.3378222286982701,0.20384411790560863,227.8,263.0,0.31992337164750956,0.38526912181303113,0.38010061486864166,0.19627798778714742,217.0,265.0,0.15119952546350712,0.20780064288759018,0.1879392055594845,0.027291989276597935,73.3536269393194,195.83858427721293,objective_aware_sampling
1240,0.4386232807426571,0.3433427762039667,0.34978464391198044,0.19128208990079168,231.8,156.6,0.4349315068493151,0.33994334277620397,0.34822983168891475,0.19107168823614948,233.0,165.0,0.016100530476783198,0.06610834438119376,0.06187446880063394,0.01198850098021917,23.336245566561473,35.31832284482698,objective_aware_sampling
1440,0.4412488340650128,0.3444759206798851,0.35005888400944285,0.19139818713765105,231.4,159.4,0.44370860927152317,0.37960339943342775,0.3851681517677494,0.18365566380689255,219.0,168.0,0.040288210157366305,0.08040044199942349,0.07697470575725057,0.014594634380363498,28.381356025796446,48.85785925476994,objective_aware_sampling
1640,0.43228894769227966,0.28725212464589134,0.2959851144138048,0.20134313302201295,251.6,126.8,0.4412811387900356,0.3342776203966006,0.3461425638017014,0.1903446270175949,235.0,144.0,0.05717582119602467,0.09643510151410364,0.09708916835201227,0.020579689781854465,34.041590834478576,32.985156673080446,objective_aware_sampling
1840,0.5651584432809482,0.2623229461756375,0.2697568811820809,0.2053557202508601,260.4,110.4,0.46511627906976744,0.311614730878187,0.3206997084548105,0.19744111660366387,243.0,129.0,0.21843133151418193,0.1338378935574383,0.13693237289712473,0.02605056092827518,47.24477642577569,57.75573046818708,objective_aware_sampling
2040,0.4651857063761454,0.2934844192634563,0.3046872786784529,0.19869698959446194,249.4,119.6,0.48130841121495327,0.29178470254957506,0.30374520790327336,0.1978772899098575,250.0,115.0,0.04291199512089749,0.024795826292955372,0.02569566157473865,0.007734520487857152,8.752926681413234,14.085731899239539,objective_aware_sampling
2240,0.44892032155807393,0.32124645892351356,0.3300491730506869,0.194946034467734,239.6,142.8,0.44813278008298757,0.3059490084985836,0.3159742539496782,0.19412534535407883,245.0,133.0,0.050314806972035005,0.033148667214665355,0.030819800618062304,0.006946483934569422,11.70147952677683,33.13684129871588,objective_aware_sampling
2440,0.43876291728128036,0.40793201133144597,0.4100242977056777,0.17927267493369867,209.0,188.0,0.45098039215686275,0.43059490084985835,0.43071691697364695,0.1807211398662402,201.0,174.0,0.03550254959558908,0.034223548953046634,0.029681829743976637,0.005506238224451653,12.080912780425438,41.15196879959054,objective_aware_sampling
2640,0.43374092653373886,0.41756373937677205,0.41867629530979156,0.1776151656302116,205.6,193.6,0.43302180685358255,0.4192634560906516,0.4176072234762979,0.18086653096830474,205.0,195.0,0.019438490163440604,0.036489322552376025,0.0326872537065311,0.0065742574771575175,12.880730860988704,25.94189681927692,objective_aware_sampling
2840,0.4184129829002868,0.455524079320112,0.45124942897781956,0.17252615147659825,192.2,225.6,0.4301675977653631,0.45325779036827196,0.45328142380422687,0.17434928020939364,193.0,219.0,0.030840433421043936,0.013128130086544237,0.012263021276359056,0.004882208088813128,4.634229920550084,29.23112545989589,objective_aware_sampling
3040,0.41693117131493157,0.4589235127478757,0.4542130973208829,0.17194436296688845,191.0,227.6,0.4239401496259352,0.45325779036827196,0.44855620970002796,0.1715615004361733,193.0,230.0,0.026892232236701372,0.020720052325444153,0.020258135997829434,0.006699994584997864,7.314178470881797,21.606330543455833,objective_aware_sampling
3240,0.44732606008922,0.4373937677053804,0.43793668067214825,0.1722936483348438,198.6,192.0,0.453416149068323,0.43909348441926344,0.4361283061339336,0.17606862460017447,198.0,176.0,0.0210386821703031,0.034683356168100594,0.030516189804334164,0.006300329718551165,12.243224727339527,26.19006567822782,objective_aware_sampling
3440,0.44384979843635297,0.4492917847025497,0.4484766191986229,0.17028716655976694,194.4,199.2,0.44168734491315137,0.4447592067988669,0.4470387243735762,0.170689153823786,196.0,191.0,0.014406469745445622,0.03151588914605794,0.02797061833241811,0.006056649567789516,11.125108868558474,19.223260072387593,objective_aware_sampling
3640,0.4329213524180623,0.44135977337110416,0.44031518394903196,0.17322395688490994,197.2,205.4,0.43116883116883115,0.45325779036827196,0.4561003420752566,0.16981680721139866,193.0,219.0,0.038098312785661136,0.030835020478574345,0.030218480807480505,0.009423157257246547,10.884762228936719,24.29438357256121,objective_aware_sampling
3840,0.4182159569016621,0.4668555240793193,0.4607048452821327,0.1709848620315188,188.2,235.0,0.41895261845386533,0.46458923512747874,0.4645476772616137,0.16940526392322233,189.0,227.0,0.04394099785140166,0.012110014018268053,0.007225680293214357,0.0054188988781693525,4.274834948448634,52.271184505038235,objective_aware_sampling
4040,0.44620034261614977,0.4623229461756361,0.46056176115566766,0.16752451574741875,189.8,203.2,0.4565826330532213,0.46175637393767704,0.4568385650224215,0.16809655372982404,190.0,197.0,0.022190069663094385,0.016610768066427046,0.016018579824139744,0.005001229741823012,5.863601127448749,16.756235513128473,objective_aware_sampling
4240,0.4388111766669416,0.4623229461756355,0.4597521121534593,0.1684259574935362,189.8,209.4,0.44141689373297005,0.45892351274787535,0.45711060948081256,0.16867820270466774,191.0,205.0,0.021837417667555814,0.016805966825188347,0.016036303678605035,0.0049399797976185855,5.932506289291494,17.774878585375284,objective_aware_sampling
