f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,num_items_queried,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,sampling_strategy
0.6484604538497925,0.650887573964497,0.01699408985675732,13.14,13.0,0.9802450919133003,59.82,60.0,1.2603151181742462,0.5364102564102391,0.5341880341880342,0.015559445903385719,55,0.35449518223712784,0.3548387096774194,0.002405293480665852,0.7143478260869497,0.717391304347826,0.021309675911158614,objective_aware_sampling
0.09854805546623145,0.09237875288683603,0.04319619542366066,41.7,42.0,2.100538668727597,15.52,15.0,3.640933692461172,0.9573504273504706,0.9615384615384616,0.02932375919306334,70,0.21264912280702253,0.21052631578947367,0.014863460755323932,0.09347826086956204,0.08695652173913043,0.045663884102773916,objective_aware_sampling
0.26030797744391465,0.25700934579439255,0.023096500372955683,34.82,35.0,1.2603317098912423,3.74,3.0,5.181363696219508,0.7600000000000077,0.7606837606837606,0.004787584842891651,85,0.776666666666662,0.7857142857142857,0.06335000658183412,0.24304347826087258,0.2391304347826087,0.027398515432417947,objective_aware_sampling
0.5063895640285732,0.5066079295154186,0.0015289716994727346,23.0,23.0,0.0,17.2,17.0,1.4003785318441517,0.5649572649572483,0.5641025641025641,0.005984523640359696,100,0.5727000000000196,0.575,0.01610435311620777,0.5,0.5,0.0,objective_aware_sampling
0.5265869424693197,0.5274725274725276,0.006200817711284275,22.02,22.0,0.14003890510009376,17.44,17.0,3.0808559122021584,0.5450427350427111,0.5427350427350427,0.01615833520385758,115,0.581077891424087,0.5853658536585366,0.030024076821224786,0.5213043478260806,0.5217391304347826,0.0030443240239150827,objective_aware_sampling
0.5665229605318184,0.5676855895196506,0.008140729169906298,20.04,20.0,0.2800800343020519,18.3,18.0,2.100600257265369,0.5064102564102756,0.5042735042735043,0.01496154029391301,130,0.5875119617224972,0.5909090909090909,0.02378670147780568,0.5643478260869742,0.5652173913043478,0.006088696397870495,objective_aware_sampling
0.6049563430919477,0.6060606060606062,0.00773211526676979,18.04,18.0,0.2800823892911739,20.24,20.0,1.6804943357470503,0.47196581196579973,0.4700854700854701,0.013166266163260417,145,0.5806321839080603,0.5833333333333334,0.018913609621674172,0.6078260869565097,0.6086956521739131,0.006088747593286413,objective_aware_sampling
0.5988128642348522,0.5973451327433629,0.01027723522603312,18.88,19.0,0.8402546612154906,11.68,11.0,4.7614430802211105,0.45333333333333514,0.452991452991453,0.002393887923690891,160,0.7047773279352147,0.7105263157894737,0.040255115348380464,0.5895652173912997,0.5869565217391305,0.01826640567859779,objective_aware_sampling
0.5930848532910434,0.5934065934065934,0.002252884945465864,18.98,19.0,0.1400437705184977,14.58,14.0,4.061269345036493,0.4678632478632542,0.4658119658119658,0.014363463642923041,175,0.6532531776021914,0.6585365853658537,0.036995417220448766,0.5873913043478215,0.5869565217391305,0.003044429793880435,objective_aware_sampling
0.6084596486348476,0.6100217864923748,0.010938494118343196,18.06,18.0,0.4201355494629445,17.28,17.0,1.9606325641604057,0.4597435897436026,0.45726495726495725,0.017356026972116006,190,0.6187063492063649,0.6222222222222222,0.02461905402276254,0.6073913043478152,0.6086956521739131,0.009133381510064063,objective_aware_sampling
0.680678690424479,0.6837606837606837,0.021581148269056497,14.14,14.0,0.9803268300907925,22.22,22.0,1.540513590142675,0.39709401709401915,0.39316239316239315,0.027530545899985673,205,0.5893614303959237,0.5925925925925926,0.02262567852699966,0.6926086956521572,0.6956521739130435,0.02131145282806061,objective_aware_sampling
0.6058796924468675,0.6060606060606062,0.0012668322102823031,18.0,18.0,0.0,20.14,20.0,0.9803381059269168,0.4706837606837498,0.4700854700854701,0.004189479085157675,220,0.581848484848495,0.5833333333333334,0.010397525365891383,0.6086956521739036,0.6086956521739131,0.0,objective_aware_sampling
0.602447952413649,0.6021505376344086,0.002082647390095635,17.98,18.0,0.14005002680167145,23.08,23.0,0.5602001072066716,0.4828205128205241,0.4829059829059829,0.0005985043880413081,235,0.5483963585434084,0.5490196078431373,0.0043643040564945446,0.6091304347826002,0.6086956521739131,0.0030445658000362455,objective_aware_sampling
0.6806225283837187,0.6823027718550106,0.011766062907393845,14.08,14.0,0.5602075227049162,23.06,23.0,0.42015564202868994,0.3994017094017138,0.3974358974358974,0.013765783143390086,250,0.5805521885521978,0.5818181818181818,0.00886523689129004,0.6939130434782466,0.6956521739130435,0.012178424406628663,objective_aware_sampling
0.6830342018874815,0.6852248394004282,0.015340363865714043,14.1,14.0,0.7002693861943103,21.14,21.0,0.9803771406720311,0.3916239316239429,0.3888888888888889,0.019152666972835925,265,0.6015162950257164,0.6037735849056604,0.015807109986821645,0.6934782608695518,0.6956521739130435,0.015223247525963155,objective_aware_sampling
0.695610526835517,0.6976744186046511,0.014453024750449132,13.1,13.0,0.700280168112079,26.06,26.0,0.42016810086724427,0.39128205128206195,0.3888888888888889,0.016758841630032627,280,0.5579601546238421,0.559322033898305,0.009536970472653266,0.7152173913043617,0.717391304347826,0.015223481915480029,objective_aware_sampling
0.6738655319756206,0.6751054852320674,0.008683291587302251,14.06,14.0,0.42017510945100933,28.04,28.0,0.2801167396340088,0.4202564102564015,0.4188034188034188,0.010175180713201042,295,0.532497175141247,0.5333333333333333,0.005855547664665529,0.6943478260869452,0.6956521739130435,0.009134241509804478,objective_aware_sampling
