f_beta_mean,f_beta_median,f_beta_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,num_items_queried,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,sampling_strategy
0.19860201059217694,0.1924055316590352,0.03611729564871319,1769.72,1791.0,117.1939966794986,1528.12,1342.0,932.1521549360884,0.25941151471208707,0.25741856453588663,0.008787969740936376,90,0.23230109293836904,0.2366325369738339,0.018806244523473226,0.19813321250569502,0.18849116447666517,0.05310104063411812,objective_aware_sampling
0.10558625469589258,0.10161818532074744,0.02835378828274434,1986.02,1996.0,67.01449403720086,744.18,690.0,312.8533290216531,0.2668503287418283,0.2667433314167146,0.0011405308294101723,140,0.23164468494761575,0.2341842397336293,0.009239757737383702,0.10012686905302418,0.09560489352061623,0.030364519273765222,objective_aware_sampling
0.00037165385967555595,0.0,0.0026017528177775997,2206.26,2207.0,5.180350035477159,0.22,0.0,1.5401040646012614,0.2757811054723467,0.27586810329741757,0.0006090259271714908,190,0.015416666666666636,0.0,0.10792395907243689,0.0003352967829632991,0.0,0.0023472360831341046,objective_aware_sampling
0.0002512972195849195,0.0,0.0016887590578935823,2206.5,2207.0,3.360288122085223,0.28,0.0,1.5880626944529377,0.27581260468486635,0.27586810329741757,0.0003814377686691568,240,0.018714285714285683,0.0,0.10151482265630626,0.00022655188038060551,0.0,0.0015225591853587426,objective_aware_sampling
0.0200714351492071,0.017549137585238662,0.021966993385965226,2166.76,2172.0,44.989550658433025,63.74,46.0,115.16253370076228,0.2724316892077321,0.272643183920402,0.005612058009016942,290,0.4108954233475851,0.43209876543209874,0.10238139557434851,0.01823289533303162,0.0158586316266425,0.020384934598293263,objective_aware_sampling
0.01844376761524507,0.01556615616369571,0.025887645129231897,2170.0,2176.0,53.36209104205559,50.4,21.0,126.335590683333,0.2725031874203006,0.2725181870453239,0.006769957929829846,340,0.5605176657525675,0.5961538461538461,0.13936251107942288,0.016764839148161938,0.014046216583597644,0.024178564133238233,objective_aware_sampling
0.04853859715785462,0.046539558624831105,0.03561272318576406,2109.28,2114.0,76.01107850911531,40.5,27.0,106.27219100196655,0.26466588335295055,0.26491837704057397,0.006943535995968797,390,0.7417338129496062,0.775,0.16193692389718004,0.0442772995015829,0.042138649750792935,0.03444090553199606,objective_aware_sampling
0.08245837866175613,0.08101391650099404,0.0484571010556001,2039.14,2044.0,110.20897941609036,123.38,94.0,246.97272408680894,0.25797055073626307,0.2578435539111522,0.00798312427669174,440,0.6300151034200313,0.6342412451361867,0.1236332034930855,0.07605799728138052,0.07385591300407793,0.04993610304308558,objective_aware_sampling
0.08500788714279585,0.07863826398566592,0.05574941633692086,2019.78,2049.0,220.86213354509104,410.4,71.0,2337.8774760089427,0.26272593185171744,0.25789355266118347,0.03172278492329282,490,0.6855276885937629,0.6899563318777293,0.11029064051521338,0.08483008608970731,0.07159039420027186,0.10007346331902613,objective_aware_sampling
0.06331267120322623,0.057479882041285554,0.047410737092697296,2072.92,2092.0,143.83256947178918,207.94,29.0,1224.498189732303,0.2643068923276584,0.26221844453888654,0.01359932690340225,540,0.7754936532291925,0.7986111111111112,0.10464616403099045,0.06075215224287061,0.05210693248753965,0.06517107814761595,objective_aware_sampling
0.13055503753425396,0.12978040957315568,0.030194831283028672,1941.64,1944.0,65.5796064607018,156.68,139.0,121.1159493290751,0.24661583460413466,0.24646883827904303,0.005539288347986533,590,0.6466789082452026,0.654228855721393,0.044779757541283965,0.12023561395561431,0.11916628908019937,0.0297143663165843,objective_aware_sampling
0.16369108241055405,0.165861749353627,0.032554104573708,1871.0,1867.0,68.30923355366427,298.04,296.0,85.42205990107932,0.2413199670008448,0.24076898077548062,0.006565551867862202,640,0.5439057538519334,0.5345911949685535,0.0705823200597116,0.15224286361576267,0.15405527865881286,0.030951170617881305,objective_aware_sampling
0.3433550367276478,0.35787997974999025,0.06152701555147134,1331.68,1288.0,168.30152325760668,4538.58,4897.0,1220.76755578441,0.27991750206241583,0.2834179145521362,0.01387247209042893,690,0.19632817756632606,0.1580123796423659,0.1425843259102482,0.3966107838695484,0.41640235613955595,0.07625805312986246,objective_aware_sampling
0.36624765549234894,0.3799344671555625,0.062022464760638045,1275.0,1233.0,169.39465453565404,4461.0,4799.0,1157.3437602348934,0.27089322766928586,0.2740931476713082,0.013210697475141765,740,0.20208290346078137,0.16871643859345228,0.12339062651461569,0.4222927050294847,0.44132306298142276,0.07675335502295126,objective_aware_sampling
0.22608810501491533,0.22024504084014002,0.04902700188599671,1737.44,1754.0,122.94791323574773,327.82,252.0,395.61512100926114,0.22536986575336357,0.22554436139096523,0.006227182447838314,790,0.6304681042374813,0.6425531914893617,0.06447848530167789,0.21275940190302386,0.2052560036248301,0.05570816186486084,objective_aware_sampling
0.29972848942428865,0.2981946363073405,0.04418889876793956,1572.32,1581.0,118.26246066027208,595.06,504.0,529.367218388129,0.21141121471960148,0.21021974450638733,0.006232329241682268,840,0.5451572591969905,0.5539823008849557,0.05631203895157756,0.28757589487990254,0.28364295423652014,0.05358516568204452,objective_aware_sampling
0.512973544329434,0.5253441425532769,0.05912038506170415,925.7,898.0,169.50108599051174,3738.98,3745.0,922.9992269601858,0.20918177045576675,0.20586985325366866,0.012670697176698874,890,0.26657451135083127,0.2590027700831025,0.057258389656950834,0.5805618486632759,0.5931128228364295,0.07680157951541106,objective_aware_sampling
