num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,fn_count_mean,fp_count_mean,precision_median,recall_median,f_beta_median,loss_median,fn_count_median,fp_count_median,precision_std,recall_std,f_beta_std,loss_std,fn_count_std,fp_count_std,sampling_strategy
240,0.2078803245248608,0.14249999999999985,0.14226025357690986,0.17165370761263793,205.8,151.6,0.2192513368983957,0.11666666666666667,0.12152777777777778,0.17054376272172142,212.0,116.0,0.0365262858394977,0.07295669679555238,0.06358907532665883,0.005570970498413099,17.509607230932573,118.33618979526527,objective_aware_sampling
440,0.14347826086956525,0.015833333333333355,0.01733064594681672,0.17316572433415728,236.2,10.0,0.0,0.0,0.0,0.17446932247746438,240.0,5.0,0.1975476410922189,0.019476294497640823,0.021306966691091115,0.0021637428928739074,4.6743106794338045,13.458801739467564,objective_aware_sampling
640,0.17091351751878922,0.04833333333333339,0.05117679767176255,0.17072305656789996,228.4,32.2,0.24113475177304963,0.0125,0.01382488479262673,0.17330619366094796,237.0,7.0,0.14194981167183923,0.057042400242131655,0.05982625874664888,0.004210460663470882,13.690176058111552,41.14869454504609,objective_aware_sampling
840,0.31804195092697113,0.08416666666666696,0.09045627137837746,0.16650665118308836,219.8,46.2,0.3125,0.09583333333333334,0.10393131495707185,0.16734515847630124,217.0,42.0,0.06590316921534464,0.026329217284435484,0.02757536977156866,0.0031307397796327355,6.319012148264431,22.286172939145576,objective_aware_sampling
1040,0.31296411678935915,0.07749999999999979,0.08319243208370368,0.16717536145767128,221.4,42.8,0.2857142857142857,0.05416666666666667,0.05882352941176471,0.16923524280314045,227.0,37.0,0.05546090523501065,0.03850760966277711,0.04023723370807519,0.0038243469596466353,9.241826319066579,21.563433385911576,objective_aware_sampling
1240,0.3262628507918869,0.06833333333333322,0.07400342070528025,0.16740798722097452,223.6,33.4,0.3050847457627119,0.075,0.0811176205497972,0.16749054957836582,222.0,35.0,0.07639891772050754,0.028641098093474027,0.03068166973511434,0.003990741812692378,6.873863542433759,12.655109075558599,objective_aware_sampling
1440,0.4093333333333342,0.04249999999999996,0.04657370760830729,0.16958906516840644,229.8,17.4,0.36666666666666664,0.041666666666666664,0.045977011494252866,0.169380633905205,230.0,15.0,0.134940692010317,0.010696210986953399,0.011495454298038187,0.0012660159893555093,2.56709063686882,10.388964992110905,objective_aware_sampling
1640,0.4319966583124473,0.03500000000000003,0.038454251183924766,0.17019975853702882,231.6,12.6,0.3333333333333333,0.029166666666666667,0.03227293683725219,0.16969608841064418,233.0,14.0,0.19219134282633774,0.01703639741752373,0.01859191633757965,0.0026681014297307063,4.088735380205686,6.5757981641263195,objective_aware_sampling
1840,0.30146481425551225,0.03249999999999997,0.03558789419043373,0.17043219825384393,232.2,11.2,0.36363636363636365,0.03333333333333333,0.03666361136571952,0.170689153823786,232.0,12.0,0.16793111998939647,0.02922442447073907,0.03183005849218398,0.004033958214963612,7.0138618729773485,7.485104826144602,objective_aware_sampling
2040,0.3155897435897433,0.03583333333333337,0.03919754153026909,0.16993782199520227,231.4,11.8,0.36,0.0375,0.041189931350114416,0.17025298051759233,231.0,16.0,0.16813397187736556,0.03231070227465632,0.03517445238574592,0.004559087829970411,7.754568545917538,7.979385204092738,objective_aware_sampling
