num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,fn_count_mean,fp_count_mean,precision_median,recall_median,f_beta_median,loss_median,fn_count_median,fp_count_median,precision_std,recall_std,f_beta_std,loss_std,fn_count_std,fp_count_std,sampling_strategy
50,0.34401940231019273,0.6221343873517793,0.5664572022795711,0.6123362156383819,8.6,28.6,0.35294117647058826,0.6086956521739131,0.5761316872427984,0.5677966101694916,9.0,33.0,0.06191402676397158,0.17264220930771876,0.1394709546893101,0.1287524863747464,3.9342974902585373,10.339597099037563,objective_aware_sampling
60,0.40231765991551527,0.5600790513833983,0.5304017652280857,0.6055135947888736,10.0,20.8,0.4090909090909091,0.4782608695652174,0.4867256637168141,0.576271186440678,12.0,25.0,0.10826991539984865,0.16727795819225091,0.1400019376048457,0.13469239310817244,3.7464026738891616,8.715060772247053,objective_aware_sampling
70,0.4666666666666647,0.524110671936761,0.5073924188826278,0.5935472832901237,10.8,15.4,0.4,0.4782608695652174,0.49107142857142855,0.559322033898305,12.0,11.0,0.11479606389015828,0.17281097944463314,0.1444255503189379,0.10605077558592386,3.767811172057011,8.901864280063386,objective_aware_sampling
80,0.594733893557424,0.505533596837943,0.5028304037271888,0.5578251834534704,11.2,9.2,0.6,0.5217391304347826,0.5357142857142857,0.5128205128205128,11.0,5.0,0.10607716067798216,0.19746724320351772,0.18549217780163557,0.14392969689007934,4.219745252974399,6.743747103799194,objective_aware_sampling
90,0.4819412166780612,0.5067193675889337,0.4984098336244248,0.5882165175560854,11.2,12.8,0.4666666666666667,0.5652173913043478,0.5676855895196506,0.5213675213675214,10.0,12.0,0.09328384179415573,0.1721775408215677,0.1543564328290278,0.13158326513155275,3.7679386244434165,5.275722261698938,objective_aware_sampling
100,0.5200653594771226,0.3932806324110663,0.39761369162773175,0.6651106215688369,13.8,8.8,0.5,0.30434782608695654,0.32258064516129037,0.7033898305084746,16.0,7.0,0.16556999898484587,0.1869764665124949,0.17619434707033485,0.16749745667320634,4.172099844478732,4.921849137314275,objective_aware_sampling
110,0.49348873348873173,0.39328063241106587,0.3960621341806212,0.6805824054509032,13.8,10.6,0.42857142857142855,0.391304347826087,0.3947368421052632,0.6610169491525424,14.0,8.0,0.13395228086495237,0.11052455454264308,0.09853774895981024,0.06781046216892875,2.318302341209499,6.383583280678258,objective_aware_sampling
120,0.47929271708683696,0.4466403162055366,0.43857425412324774,0.6804937383546407,12.6,16.6,0.42857142857142855,0.391304347826087,0.3686635944700461,0.652542372881356,14.0,16.0,0.21939817664485878,0.1123680230426499,0.10401678342169166,0.14799727391107753,2.5014281634983764,12.973091339426349,objective_aware_sampling
130,0.5069981010422182,0.535573122529645,0.5162887681527514,0.6049558662650468,10.6,17.8,0.4594594594594595,0.5217391304347826,0.49107142857142855,0.5641025641025641,11.0,19.0,0.19976424546019655,0.1291932582135053,0.11021987588861878,0.13325162207042843,3.0108439113470866,14.025206119171195,objective_aware_sampling
140,0.5276660280970651,0.5699604743082961,0.5543377297206495,0.5403035661656308,9.8,14.2,0.4166666666666667,0.5217391304347826,0.5286343612334802,0.5555555555555556,11.0,17.0,0.15834282546803694,0.15473068144279825,0.12155283368434414,0.10866800002262822,3.549011161716557,8.898485873869646,objective_aware_sampling
150,0.5523809523809559,0.5245059288537518,0.5156798136807923,0.5645014411525209,10.8,12.0,0.47619047619047616,0.4782608695652174,0.4977375565610859,0.5338983050847458,12.0,11.0,0.18230619374702603,0.18564721471678033,0.1534283713201087,0.1356233503472421,4.124147910603923,9.024004917798248,objective_aware_sampling
160,0.5797162225779127,0.5584980237154129,0.5520578795306144,0.5170592995549166,10.0,10.4,0.48,0.5217391304347826,0.5381165919282511,0.5042735042735043,11.0,8.0,0.1818437126802026,0.2017014342226281,0.1836980184878191,0.1694938556711021,4.388144705167364,7.668798153314443,objective_aware_sampling
170,0.5341529581529594,0.5770750988142311,0.5669689820861347,0.5151443400420564,9.6,12.2,0.48,0.5217391304347826,0.5172413793103448,0.5726495726495726,11.0,12.0,0.1191998090908005,0.16422329323046245,0.14468921973078253,0.13757060399887303,3.6164161924059823,6.055398137832852,objective_aware_sampling
180,0.5220588235294114,0.6387351778656162,0.6171474406129165,0.47078481619685686,8.2,14.0,0.5,0.5217391304347826,0.5357142857142857,0.5128205128205128,11.0,14.0,0.09964777609372005,0.19780688260584064,0.16661073250674996,0.15910539921341543,4.451871704872761,5.485418886400696,objective_aware_sampling
