num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,precision_median,recall_median,f_beta_median,loss_median,precision_std,recall_std,f_beta_std,loss_std,sampling_strategy
2640,0.5312543804254044,0.6491075896580502,0.6282445612790157,0.038704224076652846,0.5348837209302325,0.6272727272727273,0.6166219839142092,0.039104521005960166,0.1339937900454873,0.04829730701531157,0.031621395780226526,0.005017835188723317,objective_aware_sampling
2840,0.5022042269515044,0.6692577147623019,0.6331928412280118,0.040681898234555085,0.5303030303030303,0.6513761467889908,0.623885918003565,0.03837767117313563,0.16676198903056708,0.05360449801789507,0.023350253483113925,0.008503413573403028,objective_aware_sampling
3040,0.505899247775847,0.683869891576313,0.6559992726412532,0.036901230630646355,0.5069444444444444,0.6697247706422018,0.6437389770723104,0.03837767117313563,0.107373578615159,0.04255212131110443,0.03107800154222086,0.004383719200731309,objective_aware_sampling
3240,0.4782424831525138,0.696713928273563,0.6552252238911834,0.039053255738705106,0.4931506849315068,0.6880733944954128,0.6454388984509466,0.03852304113970054,0.13998352047591262,0.05375710951420264,0.031994397316191955,0.007404482582223173,objective_aware_sampling
3440,0.4649252848319047,0.7113427856547142,0.6656262023442178,0.0384424820379733,0.4444444444444444,0.7155963302752294,0.6700167504187605,0.039104521005960166,0.1351385836888518,0.05315369580943008,0.03207653297649611,0.00612965920925498,objective_aware_sampling
3640,0.4359361431961232,0.7278732276897436,0.6691579621154804,0.03983835502330595,0.4293785310734463,0.7431192660550459,0.6740681998413957,0.0396860008722198,0.13467603391839428,0.06750118938869097,0.04096588882546985,0.007239059190344369,objective_aware_sampling
3840,0.42502215633655754,0.7242869057547989,0.6539983483994269,0.043589940178472605,0.4675324675324675,0.7522935779816514,0.6351446718419196,0.040412850705044336,0.15838621544308962,0.08060662521574634,0.04843528844150432,0.012435813999583111,objective_aware_sampling
4040,0.42725618988137065,0.722468723936614,0.6532733369757348,0.043473542740070176,0.445859872611465,0.7522935779816514,0.6408450704225352,0.041721180404128505,0.1600316645702684,0.0828903187325398,0.04917754295407431,0.012271650313315632,objective_aware_sampling
4240,0.4299163077773541,0.7296914095079241,0.6675566779012226,0.04073997012231812,0.4539877300613497,0.7522935779816514,0.6525037936267071,0.039104521005960166,0.14307307064651917,0.06000748557842005,0.0402505623329176,0.009084849350643605,objective_aware_sampling
4440,0.43213140861490695,0.7278231859883249,0.6676444353348103,0.04053644371369804,0.4470588235294118,0.7522935779816514,0.6551724137931034,0.03881378107283035,0.14324079382391114,0.05237188077782078,0.03900557257540606,0.00921445062569261,objective_aware_sampling
4640,0.4232568207122705,0.7405671392827357,0.6764326325420669,0.04021660442096766,0.44047619047619047,0.7614678899082569,0.6645316253002401,0.039831370838784706,0.14158800029944418,0.04094326791753334,0.03925643851728003,0.009698130667964877,objective_aware_sampling
4840,0.414181880809227,0.746021684737281,0.6783165706889641,0.040565746003599495,0.45664739884393063,0.7614678899082569,0.6649395509499135,0.03721471144061637,0.13054093825574467,0.0324206750523736,0.034761784182077864,0.010199608268823752,objective_aware_sampling
5040,0.4159749626513639,0.7350959132610502,0.6586212463126445,0.044288138789444154,0.4411764705882353,0.7064220183486238,0.656,0.03924989097252508,0.16320878906498482,0.05985790636570893,0.02491308593636236,0.01397888298453369,objective_aware_sampling
5240,0.411362712099515,0.7350625521267725,0.65857130533815,0.04420081534435487,0.40860215053763443,0.7,0.64873417721519,0.04070359063817415,0.16818710864637826,0.054746093196237675,0.021701410142655014,0.012583150047031727,objective_aware_sampling
