num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,precision_median,recall_median,f_beta_median,loss_median,precision_std,recall_std,f_beta_std,loss_std,sampling_strategy
240,0.10443136827276174,0.5676430976430997,0.3760297240996126,0.11968496231261236,0.1051555223921845,0.5636363636363636,0.37373063937678175,0.11687661029098508,0.025807853044192055,0.1612681817104098,0.06366150953220942,0.029180297385762874,objective_aware_sampling
440,0.20970193040363988,0.5097306397306426,0.4235779147250052,0.07746345239703484,0.20335561125034807,0.4818181818181818,0.4137709825724366,0.07067022506948578,0.08610569287152661,0.1514199611928179,0.09657922022739354,0.020205462575630394,objective_aware_sampling
640,0.20266749786397759,0.5481144781144786,0.43221606086700015,0.08493623413021364,0.15590454465695736,0.5321548821548822,0.43325385161244756,0.08157586869703354,0.1216558962413736,0.14244005832095677,0.08009454354172073,0.024853334076073572,objective_aware_sampling
840,0.4048386638761373,0.5537037037037039,0.5214089644697216,0.0531833743076721,0.4320640865584686,0.5818181818181818,0.5164851784633998,0.05016750002241341,0.15237651808339842,0.0872475709147911,0.08637832285257813,0.015360186544597901,objective_aware_sampling
1040,0.4225587209765272,0.546464646464649,0.5203345032510092,0.05199137012237838,0.48914027149321265,0.5636363636363636,0.49125802358560977,0.04930191972076789,0.1471588091198789,0.07729143497734249,0.08054840245473723,0.014052108735711456,objective_aware_sampling
1240,0.5247545248959324,0.564848484848483,0.5584569992207685,0.043559370667090036,0.5288408966648441,0.5503367003367003,0.5533682991621824,0.04187855791649053,0.13203806057542072,0.08629624829809548,0.08744747998584163,0.00981767597369127,objective_aware_sampling
1440,0.5340184026415128,0.5720875420875378,0.5652775357571942,0.042919666733783134,0.5748194014447885,0.5555555555555556,0.558659217877095,0.04101221640488656,0.13091337878324946,0.08679656699357291,0.08674223268289638,0.00977502878949881,objective_aware_sampling
1640,0.6314292470873942,0.5828956228956224,0.5861535823200255,0.0387333751154988,0.6434294871794872,0.5688552188552188,0.5757133693380512,0.03998838901076706,0.08281692708107884,0.08767073666826258,0.08261829068959398,0.007177394672618951,objective_aware_sampling
1840,0.6214161405457754,0.5775757575757587,0.580569791461252,0.039373019799330514,0.6451388888888889,0.5727272727272728,0.5763602879624978,0.040418814345820314,0.0793006430368456,0.07195292717561284,0.06748287455354601,0.00597499250931532,objective_aware_sampling
2040,0.6474656328768369,0.6013131313131317,0.6052447985461269,0.03695945133980676,0.6392431972789117,0.5818181818181818,0.5844236331083872,0.03853984874927283,0.05325074241042458,0.051181383574130865,0.04849110682045709,0.004275344846479507,objective_aware_sampling
2240,0.6458322767434836,0.5977104377104319,0.601769761917691,0.03725015745736169,0.6460869565217391,0.5818181818181818,0.5866301031038701,0.03881367623092165,0.05883468524694125,0.060964634450300356,0.05799638853129381,0.005173623851627078,objective_aware_sampling
2440,0.6379370472638034,0.6233670033670021,0.6242742931729238,0.03567980662281243,0.637330754352031,0.624074074074074,0.6234750462107208,0.036488094835572804,0.07181695166100477,0.060785564482564974,0.0589207235008786,0.005515294913994816,objective_aware_sampling
2640,0.6455634530068731,0.6178451178451172,0.6201339924042978,0.035825273836037674,0.6376923076923078,0.6055555555555556,0.6105881144735041,0.036633274613361105,0.06778966063978902,0.06984404928676971,0.06750380540053252,0.0061675107424973424,objective_aware_sampling
2840,0.6381025501254006,0.6250841750841765,0.6260581315350203,0.035476546574367634,0.6132478632478633,0.6055555555555556,0.6060856483667715,0.0373708839897416,0.06314059103112372,0.06573116191379182,0.06357470683413415,0.005784924217267057,objective_aware_sampling
3040,0.6270179286039382,0.623198653198653,0.6230280615388757,0.035912779095615126,0.5983870967741935,0.6,0.6,0.03838325094504216,0.06842388574944543,0.07185662101363537,0.06819389180466263,0.006106608897234821,objective_aware_sampling
3240,0.6186710350194041,0.6305050505050516,0.6288197460675157,0.03562188697335801,0.5833619210977701,0.6181818181818182,0.6131655120824796,0.037947077638848505,0.06931421517327355,0.07035877155325136,0.06758515754200588,0.006167123621890181,objective_aware_sampling
3440,0.6132547846529667,0.6323232323232332,0.6300058555625399,0.03565111737675442,0.5882456140350877,0.6181818181818182,0.61427732079906,0.037650885533247226,0.07497147815998675,0.06637155997812198,0.0654656442652558,0.006198498651032927,objective_aware_sampling
3640,0.6019758117572106,0.6286195286195294,0.6252536982397235,0.03626177695070656,0.5712918660287081,0.623905723905724,0.6193754673680409,0.03779627663531178,0.07504891227158575,0.061185843778868175,0.05961755365106856,0.0055775973644376295,objective_aware_sampling
3840,0.5903487346664404,0.6359259259259226,0.6302582918370823,0.03614538797264587,0.5757142857142856,0.632996632996633,0.6285918228449062,0.037500000000000006,0.07456653211708221,0.05635518288075967,0.05464260443398268,0.005199517759412991,objective_aware_sampling
4040,0.5935314060606731,0.6358922558922541,0.6306334331877701,0.03602914273934953,0.5702797202797203,0.6272727272727272,0.6204032937992995,0.03706395348837209,0.07150119648680062,0.05654643663067007,0.05425572736810058,0.005036835915691196,objective_aware_sampling
