num_items_queried,precision_mean,recall_mean,f_beta_mean,loss_mean,precision_median,recall_median,f_beta_median,loss_median,precision_std,recall_std,f_beta_std,loss_std,sampling_strategy
2570,0.3868244638413016,0.24360875706214707,0.2519761321170988,0.40466511060107113,0.4,0.2542372881355932,0.2627358284581718,0.4037790697674419,0.13695452523668608,0.09341218310909678,0.09609095095406174,0.04324175875846956,uncertainty_sampling
2620,0.3851795026052716,0.2487095531587053,0.25676889804897357,0.40265803693361596,0.40863309352517985,0.2401129943502825,0.24893099415204684,0.41002906976744186,0.13956433785196834,0.0956099134598198,0.09801492253497257,0.044092409845899155,uncertainty_sampling
2670,0.3859437085102521,0.23964111453518305,0.24802581586321906,0.40675828620214366,0.4158805031446541,0.24858757062146894,0.2572437607556133,0.40625,0.14265911837307482,0.0897508079244503,0.09252609769206985,0.041492648868338394,uncertainty_sampling
2720,0.3862512688449142,0.23738443759630234,0.24584579635697923,0.40763015943831793,0.4259860412270735,0.2457627118644068,0.25471688488641453,0.40703599951310887,0.1385624128737655,0.0899709944217034,0.09271322833798457,0.04156145115956293,uncertainty_sampling
2770,0.3850333984526568,0.24137455059065238,0.24943206638188417,0.40591369873362343,0.4238821138211382,0.2485875706214689,0.258080074371425,0.404565280604827,0.13556839362154996,0.09794385886823752,0.10001503120791648,0.044991432590230834,uncertainty_sampling
2820,0.3898648125396114,0.24758281972265006,0.2557193440489124,0.40283245561202813,0.4417743953294412,0.2598870056497175,0.2692921766897286,0.3991868664498198,0.13427759911809664,0.09527814527164055,0.09728637014257402,0.04320733765599311,uncertainty_sampling
2870,0.39222770170488475,0.2588597842835135,0.2668293697876044,0.3976589164310787,0.44288793103448276,0.26913199794555726,0.27986619540520075,0.3909559877971238,0.1355902894399649,0.09540403074955633,0.09758134455811834,0.04297114136931215,uncertainty_sampling
2920,0.396690459826845,0.25319722650231147,0.26149074117023224,0.400043076994484,0.44344660194174756,0.25778441191576784,0.26621871808780195,0.3988075307439425,0.14297794580267237,0.09333829314367523,0.09586306853511735,0.042551633893113686,uncertainty_sampling
2970,0.3935385385117927,0.25037557781201825,0.2585642223011827,0.4016129374190255,0.4358205171539632,0.2711864406779661,0.279512732503976,0.3931349520408025,0.14099024590281445,0.09154884229711456,0.09391365047354597,0.04131121422658555,uncertainty_sampling
3020,0.387446251551324,0.250388418079096,0.25836132730963673,0.4019903032433493,0.4194988479262673,0.2570621468926554,0.26553184495397975,0.4021802325581395,0.13783783605009525,0.09209339391606891,0.09431785208829091,0.04149289305597388,uncertainty_sampling
3070,0.3889889643603077,0.2566159476117096,0.26451868484858004,0.39911173679225875,0.4131884823669264,0.26988636363636365,0.27967575668517675,0.3928779069767442,0.13668514896382067,0.09103143214197386,0.09331048430525236,0.040702927190941526,uncertainty_sampling
3120,0.39270335950224894,0.25942475603492565,0.2674206111401829,0.3976009206163723,0.4392002734107997,0.27197290703646637,0.28278301886792456,0.3909883720930233,0.14060745114415538,0.09281506643131357,0.09525242300528436,0.04204292015607521,uncertainty_sampling
3170,0.3912926087794701,0.25943117616846373,0.26742451625659164,0.3976880199366431,0.439198958935801,0.2804635336414998,0.2916684956258469,0.3866279069767442,0.1399827685918039,0.09172761231117775,0.09428725681485525,0.04158389023477125,uncertainty_sampling
3220,0.3936424593398505,0.26680148947098126,0.27463715164563773,0.39425611321816734,0.4299872704128023,0.288135593220339,0.29753864017633225,0.3850290697674419,0.14484113168280963,0.09503430934843891,0.09766010640930665,0.043517943293861425,uncertainty_sampling
3270,0.3893126848317575,0.27244478685156676,0.279837359040725,0.39213424856773343,0.4210166542381307,0.2974608371854135,0.3077330099512656,0.377869434636146,0.14367566814254695,0.09683874310414377,0.09929504200632225,0.04409843922971911,uncertainty_sampling
3320,0.3865078612648969,0.27415254237288145,0.2813896713282959,0.3914941640737042,0.4200222469410456,0.3031426553672316,0.31046547680743064,0.3800511046173411,0.14160824300366787,0.09859990828670033,0.10102662292085256,0.045033926329697264,uncertainty_sampling
3370,0.386748929944247,0.27867552645095045,0.28570132865375863,0.38937199489503077,0.41998191681735986,0.3116974833076528,0.31880294403555065,0.37583159151480716,0.14258190187039882,0.10318964096335419,0.10533777673920883,0.04733011690933828,uncertainty_sampling
3420,0.3814766773142154,0.2837634822804314,0.2903484346713377,0.3876277074571232,0.42497981519691397,0.3107344632768362,0.31983994418841777,0.37398255813953485,0.1406527829687215,0.10205659316444321,0.1042768241193811,0.0465233064984041,uncertainty_sampling
3470,0.3821221049124199,0.28376669234720103,0.29020560521894756,0.3877145278342671,0.41005826185466904,0.3107344632768362,0.31896892504092833,0.3752906976744186,0.1418735862502335,0.10218427993062058,0.10403239192626959,0.04600626304677063,uncertainty_sampling
3520,0.3890126471119547,0.2854712378017469,0.2920812121216931,0.3864348070356162,0.41844064597315433,0.2994350282485876,0.3081426338155809,0.3805232558139535,0.1460640511314051,0.1040658659236321,0.10584149857228461,0.04700444966506672,uncertainty_sampling
3570,0.38263956414658706,0.28886748844375987,0.2952583154153236,0.38503957649574466,0.4183711515926281,0.3192090395480226,0.3276901386051405,0.3706395348837209,0.1368105160069342,0.10605111820761906,0.10790299673782316,0.048082395267370855,uncertainty_sampling
3620,0.3959621246626987,0.2860618900873135,0.2933057727009536,0.3850964476964984,0.4435336976320583,0.3107344632768362,0.3196814457180064,0.3742732558139535,0.14345576707686383,0.10679401522122596,0.10904855729563245,0.049298276258984954,uncertainty_sampling
3670,0.392654825963996,0.29285118130457094,0.2995532138413059,0.3823926633917407,0.43901960784313726,0.3248587570621469,0.33420306850386006,0.36627906976744184,0.1425746057596534,0.10954307646954672,0.11150885812141866,0.05034136011648285,uncertainty_sampling
3720,0.3897387756037556,0.288318567026194,0.29504921906986353,0.3846607816570807,0.43736716547386684,0.307909604519774,0.31685901717563925,0.3757267441860465,0.1429798802120662,0.11014399887033177,0.11205075776283968,0.050801619479777224,uncertainty_sampling
3770,0.3982931044425985,0.2928576014381097,0.29982790141228366,0.38186888334114344,0.4489857200053383,0.3107344632768362,0.31965712476434693,0.3742732558139535,0.1452758860716393,0.11201926861560033,0.11396955036767129,0.05189041225189652,uncertainty_sampling
