AL_switch_point_mean,AL_switch_point_median,AL_switch_point_std,active_learning_strategy,budget_per_item_mean,budget_per_item_median,budget_per_item_std,budget_spent_per_item_mean,budget_spent_per_item_median,budget_spent_per_item_std,f1_mean,f1_median,f1_std,fn_count_mean,fn_count_median,fn_count_std,fp_count_mean,fp_count_median,fp_count_std,loss_mean,loss_median,loss_std,precision_mean,precision_median,precision_std,recall_mean,recall_median,recall_std,screening_out_threshold
0.0,0.0,0.0,,3.0,3.0,0.0,2.999825525604117,2.999825525604117,0.0,0.2843982886698967,0.2844542447629548,0.0017077801997491804,98.0,99.0,8.093207028119322,8291.4,8281.0,94.77763449253204,0.2553549100002908,0.2555759109017418,0.0021100464378381455,0.16740522966849944,0.16726511071214842,0.0012281261165757828,0.9444759206798868,0.9439093484419264,0.004585386418197902,0.99
0.1,0.1,0.0,random_sampling,3.0,3.0,0.0,2.419215446799849,2.4057402076245307,0.031794295965497966,0.8323502274819562,0.8281853281853281,0.010418614692279072,445.0,453.0,38.268786236304905,86.4,81.0,31.81666230137913,0.0672133531070982,0.06821948879002006,0.005000610224451535,0.939199297813843,0.9418521177315148,0.019988944556277987,0.7478753541076488,0.7433427762039659,0.021682031861929147,0.99
0.3,0.3,0.0,random_sampling,3.0,3.0,0.0,2.8602576405245865,2.8758033091977087,0.027151437056079312,0.8412851277110992,0.8425610887720384,0.00855208105631017,419.8,403.0,33.41706151055176,87.4,95.0,16.949926253526886,0.06357846985954811,0.0616766989444299,0.00443046076509286,0.9392460783905447,0.9352861035422344,0.009990224495375394,0.7621529745042493,0.7716713881019829,0.018933179326091683,0.99
0.5,0.5,0.0,random_sampling,3.0,3.0,0.0,2.999825525604117,2.999825525604117,0.0,0.6453014672915863,0.645264116575592,0.007582920199401139,349.2,348.0,34.397674339989905,1207.4,1210.0,74.53388491149512,0.08588211346651546,0.0863939050277705,0.00368734710930346,0.5400257573751036,0.5399926280869886,0.011434237938837109,0.8021529745042493,0.8028328611898017,0.01948876733143904,0.99
0.7,0.7,0.0,random_sampling,3.0,3.0,0.0,2.999825525604117,2.999825525604117,0.0,0.3747640861962789,0.37333006495894105,0.011127732020672623,246.6,243.0,17.213366899011938,4825.2,4871.0,239.86496200987756,0.1761667975224636,0.1768298002268167,0.00705616583424428,0.2396242304645841,0.2381920550516109,0.009022117860755685,0.8602832861189802,0.8623229461756374,0.009752615806805623,0.99
1.0,1.0,0.0,random_sampling,3.0,3.0,0.0,3.0567914158597227,3.0567914158597227,0.0,0.030148451685929813,0.0233983286908078,0.013827090383487868,1737.6,1744.0,13.049904214207857,16.6,14.0,10.737783756436894,0.2531216377329961,0.2538311669429178,0.0015902819837240278,0.6365617875056999,0.627906976744186,0.04657743705884712,0.015524079320113316,0.011898016997167141,0.007393713435811819,0.99
0.0,0.0,0.0,,5.0,5.0,0.0,4.127767600104685,4.124545639594056,0.01402641339795667,0.9031395914978592,0.9027624309392264,0.004364504899437072,131.2,131.0,13.405222862750175,219.2,219.0,3.3466401061363023,0.0254499985460467,0.025473261798831026,0.00197667076574885,0.88170058790562,0.8808625336927224,0.00198751292513992,0.9256657223796034,0.9257790368271954,0.0075950271177054815,0.99
0.1,0.1,0.0,random_sampling,5.0,5.0,0.0,2.512442932333013,2.5037657390444616,0.036959204585982765,0.8278914278081606,0.8344741754822651,0.016970858313888764,466.4,436.0,56.11862435947624,72.4,62.0,24.05826261391292,0.06991770624327548,0.06539881938992119,0.007632592896225164,0.9477604259069752,0.9539717891610988,0.014872608357159941,0.7357507082152975,0.7529745042492918,0.031795254594604104,0.99
0.3,0.3,0.0,random_sampling,5.0,5.0,0.0,3.3024164703829717,3.30265491872401,0.030234373455581626,0.8605423289607916,0.8634252090430474,0.011146095116556393,354.8,371.0,40.69029368289199,101.8,107.0,21.206131188880253,0.05454651196603565,0.05597720201227137,0.005518261342655486,0.9329551048172882,0.9280913978494624,0.012057916792024006,0.7989801699716714,0.7898016997167139,0.02305399075517961,0.99
0.5,0.5,0.0,random_sampling,5.0,5.0,0.0,4.022658408211928,4.030125912355695,0.018114850773695877,0.8837437749295528,0.8846611177170036,0.002673164601921213,280.6,283.0,9.60728889958036,110.0,111.0,19.87460691435179,0.043996626828346284,0.044200180290209085,0.0009033251660129149,0.9311681691207072,0.9305816135084428,0.011152947936000936,0.8410198300283286,0.8396600566572238,0.005443223172566796,0.99
0.7,0.7,0.0,random_sampling,5.0,5.0,0.0,4.7292564482828805,4.7301462677018815,0.018349888327235442,0.8966248901364974,0.8983548766157462,0.006039940001639587,237.4,233.0,15.773395322504284,114.8,116.0,10.61602562167217,0.03785512809328565,0.037511995114716916,0.0023387777741484283,0.9301244504159368,0.9300783604581072,0.00608694889479093,0.8654957507082154,0.8679886685552408,0.008936767888104416,0.99
1.0,1.0,0.0,random_sampling,5.0,5.0,0.0,5.063246968507372,5.063246968507372,0.0,0.05634115399581621,0.060606060606060615,0.012094413378163056,1713.0,1709.0,11.510864433221338,26.0,27.0,7.516648189186454,0.2498182558376225,0.2492657535839949,0.001522560567806385,0.6674255415185024,0.6746987951807228,0.042540231262530204,0.02946175637393768,0.03172804532577904,0.006521736222788295,0.99
